,행정구역,내국인방문객수,외국인방문객수,외국인/내국인
0,광주광역시 남구,55231596.0,36457.711,0.0006600879503826035
1,강원도 태백시,16766029.0,11570.25,0.0006901007984657548
2,광주광역시 북구,128785342.0,94970.214,0.0007374303047624783
3,대전광역시 중구,88174184.0,65054.549,0.0007377958723156429
4,충청남도 계룡시,12546334.5,9335.28,0.0007440643320963586
5,울산광역시 중구,64128032.5,48612.879,0.0007580597299628677
6,전라남도 화순군,47201175.0,36867.76,0.0007810771659815673
7,부산광역시 북구,64501279.5,52108.987,0.0008078752453274978
8,충청남도 청양군,9805187.0,8214.588,0.0008377798404048796
9,전라북도 임실군,18388482.0,16823.538,0.0009148954220364683
10,충청북도 영동군,33366788.0,30722.838,0.0009207610274024578
11,전라남도 장흥군,12269939.5,11633.99,0.0009481701193392192
12,경상남도 거창군,34656692.0,32891.542,0.0009490675567073742
13,전라남도 곡성군,18794832.0,17990.028,0.000957179505515133
14,경상남도 함양군,23464903.0,22686.53,0.0009668282029548556
15,전라북도 남원시,50433131.0,48763.36,0.0009668913873302849
16,대전광역시 대덕구,52603302.5,50963.093,0.0009688192675735521
17,전라북도 순창군,14605724.0,14446.216,0.0009890790761211152
18,충청남도 홍성군,29619751.0,30060.621,0.0010148843249897677
19,전라북도 장수군,5767226.5,5861.806,0.0010163994772877396
20,대구광역시 서구,46127343.5,47480.687,0.0010293392898292528
21,대전광역시 서구,152856879.0,158565.373,0.0010373453523148278
22,전라북도 익산시,168997094.0,177221.018,0.0010486631089644655
23,전라남도 강진군,23999374.0,25441.254,0.0010600799004174025
24,경상남도 의령군,16859927.0,17935.524,0.0010637960650719308
25,충청북도 제천시,34351383.5,36553.824,0.0010641150450315924
26,전라남도 순천시,139001051.0,153371.332,0.0011033825348557976
27,경상북도 영주시,32553986.5,36100.01,0.0011089274734447654
28,경상남도 진주시,167135598.0,192928.344,0.0011543222766941608
29,충청북도 옥천군,21636184.5,25002.857,0.0011556037988121241
30,충청남도 예산군,60489506.0,69930.268,0.0011560727244160334
31,대구광역시 달서구,167328273.0,196388.572,0.0011736723775306042
32,강원도 철원군,13993126.0,16605.205,0.001186668725772926
33,경상북도 경산시,84747932.5,100585.607,0.001186879774323698
34,전라남도 함평군,9585877.0,11773.176,0.0012281793309052472
35,광주광역시 동구,56573755.0,70824.237,0.0012518921008513575
36,전라남도 담양군,41308736.0,51803.766,0.0012540632083247476
37,경상북도 안동시,120253147.0,151056.354,0.0012561530219246568
38,대구광역시 수성구,135946776.0,172264.138,0.0012671439740505506
39,전라남도 목포시,78054588.5,99405.711,0.0012735409014423284
