,법정동코드	법정동명	폐지여부,코드,행정구역,존재유무,시도,군구
0,1111000000	서울특별시 종로구	존재,11110,서울특별시 종로구,존재,서울특별시,종로구
1,1114000000	서울특별시 중구	존재,11140,서울특별시 중구,존재,서울특별시,중구
2,1117000000	서울특별시 용산구	존재,11170,서울특별시 용산구,존재,서울특별시,용산구
3,1120000000	서울특별시 성동구	존재,11200,서울특별시 성동구,존재,서울특별시,성동구
4,1121500000	서울특별시 광진구	존재,11215,서울특별시 광진구,존재,서울특별시,광진구
5,1123000000	서울특별시 동대문구	존재,11230,서울특별시 동대문구,존재,서울특별시,동대문구
6,1126000000	서울특별시 중랑구	존재,11260,서울특별시 중랑구,존재,서울특별시,중랑구
7,1129000000	서울특별시 성북구	존재,11290,서울특별시 성북구,존재,서울특별시,성북구
8,1130500000	서울특별시 강북구	존재,11305,서울특별시 강북구,존재,서울특별시,강북구
9,1132000000	서울특별시 도봉구	존재,11320,서울특별시 도봉구,존재,서울특별시,도봉구
10,1135000000	서울특별시 노원구	존재,11350,서울특별시 노원구,존재,서울특별시,노원구
11,1138000000	서울특별시 은평구	존재,11380,서울특별시 은평구,존재,서울특별시,은평구
12,1141000000	서울특별시 서대문구	존재,11410,서울특별시 서대문구,존재,서울특별시,서대문구
13,1144000000	서울특별시 마포구	존재,11440,서울특별시 마포구,존재,서울특별시,마포구
14,1147000000	서울특별시 양천구	존재,11470,서울특별시 양천구,존재,서울특별시,양천구
15,1150000000	서울특별시 강서구	존재,11500,서울특별시 강서구,존재,서울특별시,강서구
16,1153000000	서울특별시 구로구	존재,11530,서울특별시 구로구,존재,서울특별시,구로구
17,1154500000	서울특별시 금천구	존재,11545,서울특별시 금천구,존재,서울특별시,금천구
18,1156000000	서울특별시 영등포구	존재,11560,서울특별시 영등포구,존재,서울특별시,영등포구
19,1159000000	서울특별시 동작구	존재,11590,서울특별시 동작구,존재,서울특별시,동작구
20,1162000000	서울특별시 관악구	존재,11620,서울특별시 관악구,존재,서울특별시,관악구
21,1165000000	서울특별시 서초구	존재,11650,서울특별시 서초구,존재,서울특별시,서초구
22,1168000000	서울특별시 강남구	존재,11680,서울특별시 강남구,존재,서울특별시,강남구
23,1171000000	서울특별시 송파구	존재,11710,서울특별시 송파구,존재,서울특별시,송파구
24,1174000000	서울특별시 강동구	존재,11740,서울특별시 강동구,존재,서울특별시,강동구
25,2611000000	부산광역시 중구	존재,26110,부산광역시 중구,존재,부산광역시,중구
26,2614000000	부산광역시 서구	존재,26140,부산광역시 서구,존재,부산광역시,서구
27,2617000000	부산광역시 동구	존재,26170,부산광역시 동구,존재,부산광역시,동구
28,2620000000	부산광역시 영도구	존재,26200,부산광역시 영도구,존재,부산광역시,영도구
29,2623000000	부산광역시 부산진구	존재,26230,부산광역시 부산진구,존재,부산광역시,부산진구
30,2626000000	부산광역시 동래구	존재,26260,부산광역시 동래구,존재,부산광역시,동래구
31,2629000000	부산광역시 남구	존재,26290,부산광역시 남구,존재,부산광역시,남구
32,2632000000	부산광역시 북구	존재,26320,부산광역시 북구,존재,부산광역시,북구
33,2635000000	부산광역시 해운대구	존재,26350,부산광역시 해운대구,존재,부산광역시,해운대구
34,2638000000	부산광역시 사하구	존재,26380,부산광역시 사하구,존재,부산광역시,사하구
35,2641000000	부산광역시 금정구	존재,26410,부산광역시 금정구,존재,부산광역시,금정구
36,2644000000	부산광역시 강서구	존재,26440,부산광역시 강서구,존재,부산광역시,강서구
37,2647000000	부산광역시 연제구	존재,26470,부산광역시 연제구,존재,부산광역시,연제구
38,2650000000	부산광역시 수영구	존재,26500,부산광역시 수영구,존재,부산광역시,수영구
39,2653000000	부산광역시 사상구	존재,26530,부산광역시 사상구,존재,부산광역시,사상구
40,2671000000	부산광역시 기장군	존재,26710,부산광역시 기장군,존재,부산광역시,기장군
41,2711000000	대구광역시 중구	존재,27110,대구광역시 중구,존재,대구광역시,중구
42,2714000000	대구광역시 동구	존재,27140,대구광역시 동구,존재,대구광역시,동구
43,2717000000	대구광역시 서구	존재,27170,대구광역시 서구,존재,대구광역시,서구
44,2720000000	대구광역시 남구	존재,27200,대구광역시 남구,존재,대구광역시,남구
45,2723000000	대구광역시 북구	존재,27230,대구광역시 북구,존재,대구광역시,북구
46,2726000000	대구광역시 수성구	존재,27260,대구광역시 수성구,존재,대구광역시,수성구
47,2729000000	대구광역시 달서구	존재,27290,대구광역시 달서구,존재,대구광역시,달서구
48,2771000000	대구광역시 달성군	존재,27710,대구광역시 달성군,존재,대구광역시,달성군
49,2811000000	인천광역시 중구	존재,28110,인천광역시 중구,존재,인천광역시,중구
50,2814000000	인천광역시 동구	존재,28140,인천광역시 동구,존재,인천광역시,동구
51,2817700000	인천광역시 미추홀구	존재,28177,인천광역시 미추홀구,존재,인천광역시,미추홀구
52,2818500000	인천광역시 연수구	존재,28185,인천광역시 연수구,존재,인천광역시,연수구
53,2820000000	인천광역시 남동구	존재,28200,인천광역시 남동구,존재,인천광역시,남동구
54,2823700000	인천광역시 부평구	존재,28237,인천광역시 부평구,존재,인천광역시,부평구
55,2824500000	인천광역시 계양구	존재,28245,인천광역시 계양구,존재,인천광역시,계양구
56,2826000000	인천광역시 서구	존재,28260,인천광역시 서구,존재,인천광역시,서구
