기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,횡성군,현지인방문자(a),541128.0,494624.0
201901,횡성군,외지인방문자(b),1135687.0,1061988.0
201901,횡성군,외국인방문자(c),4361.0,2939.0
201901,횡성군,외부방문자(b+c),1140048.0,1064926.0
201901,횡성군,전체방문자(a+b+c),1681176.0,1559550.0
201902,횡성군,현지인방문자(a),466658.0,472042.0
201902,횡성군,외지인방문자(b),1065788.0,1094821.0
201902,횡성군,외국인방문자(c),5894.0,9019.0
201902,횡성군,외부방문자(b+c),1071682.0,1103840.0
201902,횡성군,전체방문자(a+b+c),1538341.0,1575881.0
201903,횡성군,현지인방문자(a),574718.0,569688.0
201903,횡성군,외지인방문자(b),1028461.0,996359.0
201903,횡성군,외국인방문자(c),5195.0,3109.0
201903,횡성군,외부방문자(b+c),1033656.0,999468.0
201903,횡성군,전체방문자(a+b+c),1608374.0,1569156.0
201904,횡성군,현지인방문자(a),541219.0,562040.0
201904,횡성군,외지인방문자(b),918012.0,1068711.0
201904,횡성군,외국인방문자(c),3671.0,2928.0
201904,횡성군,외부방문자(b+c),921683.0,1071639.0
201904,횡성군,전체방문자(a+b+c),1462902.0,1633680.0
201905,횡성군,현지인방문자(a),594433.0,613837.0
201905,횡성군,외지인방문자(b),1119100.0,1251680.0
201905,횡성군,외국인방문자(c),2370.0,2450.0
201905,횡성군,외부방문자(b+c),1121471.0,1254130.0
201905,횡성군,전체방문자(a+b+c),1715904.0,1867967.0
201906,횡성군,현지인방문자(a),597418.0,601800.0
201906,횡성군,외지인방문자(b),1132628.0,1166053.0
201906,횡성군,외국인방문자(c),3059.0,2541.0
201906,횡성군,외부방문자(b+c),1135687.0,1168594.0
201906,횡성군,전체방문자(a+b+c),1733106.0,1770395.0
201907,횡성군,현지인방문자(a),552968.0,580328.0
201907,횡성군,외지인방문자(b),1232742.0,1346233.0
201907,횡성군,외국인방문자(c),4830.0,4385.0
201907,횡성군,외부방문자(b+c),1237572.0,1350618.0
201907,횡성군,전체방문자(a+b+c),1790541.0,1930946.0
201908,횡성군,현지인방문자(a),535426.0,574133.0
201908,횡성군,외지인방문자(b),1740508.0,1710814.0
201908,횡성군,외국인방문자(c),4989.0,3919.0
201908,횡성군,외부방문자(b+c),1745497.0,1714733.0
201908,횡성군,전체방문자(a+b+c),2280924.0,2288866.0
201909,횡성군,현지인방문자(a),528384.0,563479.0
201909,횡성군,외지인방문자(b),1132610.0,1302970.0
201909,횡성군,외국인방문자(c),2902.0,3220.0
201909,횡성군,외부방문자(b+c),1135512.0,1306189.0
201909,횡성군,전체방문자(a+b+c),1663897.0,1869668.0
201910,횡성군,현지인방문자(a),555422.0,603214.0
201910,횡성군,외지인방문자(b),1233848.0,1251600.0
201910,횡성군,외국인방문자(c),5759.0,3640.0
201910,횡성군,외부방문자(b+c),1239607.0,1255240.0
201910,횡성군,전체방문자(a+b+c),1795029.0,1858454.0
201911,횡성군,현지인방문자(a),563185.0,562450.0
201911,횡성군,외지인방문자(b),1045205.0,953351.0
201911,횡성군,외국인방문자(c),2081.0,2879.0
201911,횡성군,외부방문자(b+c),1047286.0,956230.0
201911,횡성군,전체방문자(a+b+c),1610471.0,1518680.0
201912,횡성군,현지인방문자(a),561152.0,553424.0
201912,횡성군,외지인방문자(b),1048222.0,1046535.0
201912,횡성군,외국인방문자(c),9133.0,7706.0
201912,횡성군,외부방문자(b+c),1057355.0,1054241.0
201912,횡성군,전체방문자(a+b+c),1618507.0,1607664.0
