기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창녕군,현지인방문자(a),813463.0,808122.0
201901,창녕군,외지인방문자(b),669176.0,638645.0
201901,창녕군,외국인방문자(c),2087.0,659.0
201901,창녕군,외부방문자(b+c),671262.0,639304.0
201901,창녕군,전체방문자(a+b+c),1484725.0,1447426.0
201902,창녕군,현지인방문자(a),726212.0,733478.0
201902,창녕군,외지인방문자(b),813575.0,748986.0
201902,창녕군,외국인방문자(c),2434.0,1426.0
201902,창녕군,외부방문자(b+c),816009.0,750412.0
201902,창녕군,전체방문자(a+b+c),1542221.0,1483890.0
201903,창녕군,현지인방문자(a),857640.0,851830.0
201903,창녕군,외지인방문자(b),786048.0,717745.0
201903,창녕군,외국인방문자(c),2864.0,1443.0
201903,창녕군,외부방문자(b+c),788912.0,719188.0
201903,창녕군,전체방문자(a+b+c),1646552.0,1571018.0
201904,창녕군,현지인방문자(a),813589.0,821625.0
201904,창녕군,외지인방문자(b),913003.0,920626.0
201904,창녕군,외국인방문자(c),3992.0,2469.0
201904,창녕군,외부방문자(b+c),916995.0,923095.0
201904,창녕군,전체방문자(a+b+c),1730584.0,1744720.0
201905,창녕군,현지인방문자(a),855974.0,870054.0
201905,창녕군,외지인방문자(b),777934.0,796943.0
201905,창녕군,외국인방문자(c),8059.0,5123.0
201905,창녕군,외부방문자(b+c),785993.0,802066.0
201905,창녕군,전체방문자(a+b+c),1641967.0,1672120.0
201906,창녕군,현지인방문자(a),833917.0,838142.0
201906,창녕군,외지인방문자(b),745066.0,736484.0
201906,창녕군,외국인방문자(c),7150.0,5310.0
201906,창녕군,외부방문자(b+c),752216.0,741794.0
201906,창녕군,전체방문자(a+b+c),1586133.0,1579936.0
201907,창녕군,현지인방문자(a),847721.0,848239.0
201907,창녕군,외지인방문자(b),696084.0,702250.0
201907,창녕군,외국인방문자(c),4689.0,2726.0
201907,창녕군,외부방문자(b+c),700773.0,704977.0
201907,창녕군,전체방문자(a+b+c),1548494.0,1553216.0
201908,창녕군,현지인방문자(a),820582.0,820302.0
201908,창녕군,외지인방문자(b),729701.0,664906.0
201908,창녕군,외국인방문자(c),2671.0,1908.0
201908,창녕군,외부방문자(b+c),732372.0,666813.0
201908,창녕군,전체방문자(a+b+c),1552954.0,1487115.0
201909,창녕군,현지인방문자(a),823952.0,812774.0
201909,창녕군,외지인방문자(b),817218.0,901383.0
201909,창녕군,외국인방문자(c),3763.0,3670.0
201909,창녕군,외부방문자(b+c),820982.0,905053.0
201909,창녕군,전체방문자(a+b+c),1644934.0,1717826.0
201910,창녕군,현지인방문자(a),868350.0,853030.0
201910,창녕군,외지인방문자(b),773840.0,760840.0
201910,창녕군,외국인방문자(c),6884.0,7168.0
201910,창녕군,외부방문자(b+c),780724.0,768008.0
201910,창녕군,전체방문자(a+b+c),1649074.0,1621039.0
201911,창녕군,현지인방문자(a),843465.0,800726.0
201911,창녕군,외지인방문자(b),766703.0,692783.0
201911,창녕군,외국인방문자(c),3908.0,4675.0
201911,창녕군,외부방문자(b+c),770611.0,697458.0
201911,창녕군,전체방문자(a+b+c),1614076.0,1498184.0
201912,창녕군,현지인방문자(a),875427.0,821128.0
201912,창녕군,외지인방문자(b),695880.0,677523.0
201912,창녕군,외국인방문자(c),1975.0,3140.0
201912,창녕군,외부방문자(b+c),697855.0,680663.0
201912,창녕군,전체방문자(a+b+c),1573282.0,1501791.0
