기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,예천군,현지인방문자(a),674622.0,583765.0
201901,예천군,외지인방문자(b),453680.0,404786.0
201901,예천군,외국인방문자(c),798.0,527.0
201901,예천군,외부방문자(b+c),454479.0,405312.0
201901,예천군,전체방문자(a+b+c),1129100.0,989077.0
201902,예천군,현지인방문자(a),617176.0,541730.0
201902,예천군,외지인방문자(b),567091.0,516366.0
201902,예천군,외국인방문자(c),733.0,934.0
201902,예천군,외부방문자(b+c),567824.0,517300.0
201902,예천군,전체방문자(a+b+c),1185000.0,1059030.0
201903,예천군,현지인방문자(a),724031.0,648504.0
201903,예천군,외지인방문자(b),526764.0,476822.0
201903,예천군,외국인방문자(c),1926.0,903.0
201903,예천군,외부방문자(b+c),528690.0,477726.0
201903,예천군,전체방문자(a+b+c),1252721.0,1126230.0
201904,예천군,현지인방문자(a),715236.0,651382.0
201904,예천군,외지인방문자(b),492800.0,476896.0
201904,예천군,외국인방문자(c),1388.0,1278.0
201904,예천군,외부방문자(b+c),494188.0,478174.0
201904,예천군,전체방문자(a+b+c),1209424.0,1129555.0
201905,예천군,현지인방문자(a),781711.0,720069.0
201905,예천군,외지인방문자(b),565988.0,546847.0
201905,예천군,외국인방문자(c),1864.0,1245.0
201905,예천군,외부방문자(b+c),567852.0,548092.0
201905,예천군,전체방문자(a+b+c),1349563.0,1268161.0
201906,예천군,현지인방문자(a),716208.0,700161.0
201906,예천군,외지인방문자(b),482062.0,487358.0
201906,예천군,외국인방문자(c),1671.0,1042.0
201906,예천군,외부방문자(b+c),483733.0,488399.0
201906,예천군,전체방문자(a+b+c),1199941.0,1188560.0
201907,예천군,현지인방문자(a),750715.0,707038.0
201907,예천군,외지인방문자(b),542192.0,508739.0
201907,예천군,외국인방문자(c),1727.0,1475.0
201907,예천군,외부방문자(b+c),543919.0,510214.0
201907,예천군,전체방문자(a+b+c),1294634.0,1217253.0
201908,예천군,현지인방문자(a),715568.0,696003.0
201908,예천군,외지인방문자(b),585900.0,526242.0
201908,예천군,외국인방문자(c),1753.0,1524.0
201908,예천군,외부방문자(b+c),587653.0,527766.0
201908,예천군,전체방문자(a+b+c),1303221.0,1223769.0
201909,예천군,현지인방문자(a),731034.0,688054.0
201909,예천군,외지인방문자(b),656502.0,705257.0
201909,예천군,외국인방문자(c),2369.0,1082.0
201909,예천군,외부방문자(b+c),658871.0,706339.0
201909,예천군,전체방문자(a+b+c),1389905.0,1394393.0
201910,예천군,현지인방문자(a),776002.0,696199.0
201910,예천군,외지인방문자(b),537492.0,508844.0
201910,예천군,외국인방문자(c),2372.0,2195.0
201910,예천군,외부방문자(b+c),539863.0,511039.0
201910,예천군,전체방문자(a+b+c),1315866.0,1207238.0
201911,예천군,현지인방문자(a),753032.0,642758.0
201911,예천군,외지인방문자(b),539872.0,485852.0
201911,예천군,외국인방문자(c),2358.0,1224.0
201911,예천군,외부방문자(b+c),542229.0,487076.0
201911,예천군,전체방문자(a+b+c),1295261.0,1129834.0
201912,예천군,현지인방문자(a),754568.0,658427.0
201912,예천군,외지인방문자(b),468612.0,451140.0
201912,예천군,외국인방문자(c),1121.0,824.0
201912,예천군,외부방문자(b+c),469733.0,451964.0
201912,예천군,전체방문자(a+b+c),1224301.0,1110391.0
