기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,광산구,현지인방문자(a),6594721.0,6226416.0
201901,광산구,외지인방문자(b),3467450.0,3242760.0
201901,광산구,외국인방문자(c),10710.0,4920.0
201901,광산구,외부방문자(b+c),3478160.0,3247681.0
201901,광산구,전체방문자(a+b+c),1.0072881E7,9474097.0
201902,광산구,현지인방문자(a),5743636.0,5609947.0
201902,광산구,외지인방문자(b),3421086.0,3211534.0
201902,광산구,외국인방문자(c),11269.0,6651.0
201902,광산구,외부방문자(b+c),3432354.0,3218184.0
201902,광산구,전체방문자(a+b+c),9175991.0,8828131.0
201903,광산구,현지인방문자(a),6676138.0,6537804.0
201903,광산구,외지인방문자(b),4081546.0,3753928.0
201903,광산구,외국인방문자(c),16246.0,8923.0
201903,광산구,외부방문자(b+c),4097792.0,3762851.0
201903,광산구,전체방문자(a+b+c),1.077393E7,1.0300655E7
201904,광산구,현지인방문자(a),6234868.0,6136914.0
201904,광산구,외지인방문자(b),3330862.0,3250166.0
201904,광산구,외국인방문자(c),13532.0,8672.0
201904,광산구,외부방문자(b+c),3344394.0,3258838.0
201904,광산구,전체방문자(a+b+c),9579263.0,9395752.0
201905,광산구,현지인방문자(a),6642762.0,6648047.0
201905,광산구,외지인방문자(b),3541240.0,3548566.0
201905,광산구,외국인방문자(c),12500.0,11348.0
201905,광산구,외부방문자(b+c),3553741.0,3559914.0
201905,광산구,전체방문자(a+b+c),1.0196503E7,1.0207961E7
201906,광산구,현지인방문자(a),6382971.0,6555482.0
201906,광산구,외지인방문자(b),3336638.0,3312141.0
201906,광산구,외국인방문자(c),14269.0,8769.0
201906,광산구,외부방문자(b+c),3350907.0,3320910.0
201906,광산구,전체방문자(a+b+c),9733878.0,9876392.0
201907,광산구,현지인방문자(a),6554569.0,6709650.0
201907,광산구,외지인방문자(b),3885490.0,3553204.0
201907,광산구,외국인방문자(c),73936.0,9252.0
201907,광산구,외부방문자(b+c),3959426.0,3562455.0
201907,광산구,전체방문자(a+b+c),1.0513995E7,1.0272106E7
201908,광산구,현지인방문자(a),6245824.0,6583395.0
201908,광산구,외지인방문자(b),3662386.0,3567172.0
201908,광산구,외국인방문자(c),36049.0,11568.0
201908,광산구,외부방문자(b+c),3698435.0,3578740.0
201908,광산구,전체방문자(a+b+c),9944258.0,1.0162135E7
201909,광산구,현지인방문자(a),6227536.0,6600870.0
201909,광산구,외지인방문자(b),3769126.0,3988845.0
201909,광산구,외국인방문자(c),17818.0,18344.0
201909,광산구,외부방문자(b+c),3786944.0,4007189.0
201909,광산구,전체방문자(a+b+c),1.001448E7,1.060806E7
201910,광산구,현지인방문자(a),6479854.0,6697716.0
201910,광산구,외지인방문자(b),3619812.0,3571950.0
201910,광산구,외국인방문자(c),14262.0,14803.0
201910,광산구,외부방문자(b+c),3634074.0,3586753.0
201910,광산구,전체방문자(a+b+c),1.0113929E7,1.0284468E7
201911,광산구,현지인방문자(a),6327930.0,6314847.0
201911,광산구,외지인방문자(b),3613060.0,3409217.0
201911,광산구,외국인방문자(c),16913.0,13979.0
201911,광산구,외부방문자(b+c),3629974.0,3423196.0
201911,광산구,전체방문자(a+b+c),9957904.0,9738043.0
201912,광산구,현지인방문자(a),6642226.0,6726713.0
201912,광산구,외지인방문자(b),3764674.0,3655155.0
201912,광산구,외국인방문자(c),15553.0,12067.0
201912,광산구,외부방문자(b+c),3780226.0,3667222.0
201912,광산구,전체방문자(a+b+c),1.0422453E7,1.0393935E7
