기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,북구,현지인방문자(a),7518536.0,7032060.0
201901,북구,외지인방문자(b),3864581.0,3738858.0
201901,북구,외국인방문자(c),8811.0,5461.0
201901,북구,외부방문자(b+c),3873392.0,3744319.0
201901,북구,전체방문자(a+b+c),1.1391927E7,1.0776379E7
201902,북구,현지인방문자(a),6679015.0,6373686.0
201902,북구,외지인방문자(b),3966792.0,3892098.0
201902,북구,외국인방문자(c),9904.0,8113.0
201902,북구,외부방문자(b+c),3976695.0,3900211.0
201902,북구,전체방문자(a+b+c),1.065571E7,1.0273896E7
201903,북구,현지인방문자(a),7658742.0,7468038.0
201903,북구,외지인방문자(b),4833986.0,4533224.0
201903,북구,외국인방문자(c),18368.0,13215.0
201903,북구,외부방문자(b+c),4852354.0,4546439.0
201903,북구,전체방문자(a+b+c),1.2511096E7,1.2014477E7
201904,북구,현지인방문자(a),7148068.0,7091189.0
201904,북구,외지인방문자(b),3690064.0,3686333.0
201904,북구,외국인방문자(c),19052.0,11959.0
201904,북구,외부방문자(b+c),3709116.0,3698292.0
201904,북구,전체방문자(a+b+c),1.0857183E7,1.0789481E7
201905,북구,현지인방문자(a),7809984.0,7848572.0
201905,북구,외지인방문자(b),3986728.0,4075134.0
201905,북구,외국인방문자(c),13839.0,8867.0
201905,북구,외부방문자(b+c),4000566.0,4084001.0
201905,북구,전체방문자(a+b+c),1.181055E7,1.1932572E7
201906,북구,현지인방문자(a),7482762.0,7475349.0
201906,북구,외지인방문자(b),3722282.0,3760995.0
201906,북구,외국인방문자(c),16160.0,8750.0
201906,북구,외부방문자(b+c),3738442.0,3769745.0
201906,북구,전체방문자(a+b+c),1.1221204E7,1.1245094E7
201907,북구,현지인방문자(a),7613739.0,7531867.0
201907,북구,외지인방문자(b),4101426.0,4159354.0
201907,북구,외국인방문자(c),17009.0,13625.0
201907,북구,외부방문자(b+c),4118435.0,4172979.0
201907,북구,전체방문자(a+b+c),1.1732174E7,1.1704846E7
201908,북구,현지인방문자(a),7166064.0,7353213.0
201908,북구,외지인방문자(b),3949508.0,3926692.0
201908,북구,외국인방문자(c),17047.0,17946.0
201908,북구,외부방문자(b+c),3966555.0,3944638.0
201908,북구,전체방문자(a+b+c),1.113262E7,1.1297851E7
201909,북구,현지인방문자(a),7282916.0,7186669.0
201909,북구,외지인방문자(b),4519767.0,4619528.0
201909,북구,외국인방문자(c),22113.0,13428.0
201909,북구,외부방문자(b+c),4541880.0,4632956.0
201909,북구,전체방문자(a+b+c),1.1824796E7,1.1819625E7
201910,북구,현지인방문자(a),7592490.0,7484351.0
201910,북구,외지인방문자(b),4113364.0,4017328.0
201910,북구,외국인방문자(c),18149.0,11610.0
201910,북구,외부방문자(b+c),4131513.0,4028938.0
201910,북구,전체방문자(a+b+c),1.1724004E7,1.1513289E7
201911,북구,현지인방문자(a),7585714.0,7295572.0
201911,북구,외지인방문자(b),4076835.0,3852408.0
201911,북구,외국인방문자(c),17732.0,12856.0
201911,북구,외부방문자(b+c),4094567.0,3865264.0
201911,북구,전체방문자(a+b+c),1.1680282E7,1.1160835E7
201912,북구,현지인방문자(a),7816098.0,7538412.0
201912,북구,외지인방문자(b),4277668.0,4088290.0
201912,북구,외국인방문자(c),14723.0,9579.0
201912,북구,외부방문자(b+c),4292392.0,4097869.0
201912,북구,전체방문자(a+b+c),1.210849E7,1.1636281E7
