기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서구,현지인방문자(a),7786474.0,7369775.0
201901,서구,외지인방문자(b),4951366.0,4678236.0
201901,서구,외국인방문자(c),12908.0,7270.0
201901,서구,외부방문자(b+c),4964274.0,4685507.0
201901,서구,전체방문자(a+b+c),1.2750749E7,1.2055282E7
201902,서구,현지인방문자(a),6864330.0,6620194.0
201902,서구,외지인방문자(b),4737866.0,4460438.0
201902,서구,외국인방문자(c),12260.0,6290.0
201902,서구,외부방문자(b+c),4750126.0,4466729.0
201902,서구,전체방문자(a+b+c),1.1614455E7,1.1086923E7
201903,서구,현지인방문자(a),7881881.0,7753438.0
201903,서구,외지인방문자(b),5589252.0,5369609.0
201903,서구,외국인방문자(c),9007.0,7042.0
201903,서구,외부방문자(b+c),5598258.0,5376651.0
201903,서구,전체방문자(a+b+c),1.3480139E7,1.3130089E7
201904,서구,현지인방문자(a),7357413.0,7141950.0
201904,서구,외지인방문자(b),4465286.0,4474950.0
201904,서구,외국인방문자(c),11662.0,6818.0
201904,서구,외부방문자(b+c),4476948.0,4481768.0
201904,서구,전체방문자(a+b+c),1.1834361E7,1.1623717E7
201905,서구,현지인방문자(a),8034352.0,7987710.0
201905,서구,외지인방문자(b),4909681.0,4942626.0
201905,서구,외국인방문자(c),9120.0,7168.0
201905,서구,외부방문자(b+c),4918801.0,4949794.0
201905,서구,전체방문자(a+b+c),1.2953153E7,1.2937505E7
201906,서구,현지인방문자(a),7763756.0,7864437.0
201906,서구,외지인방문자(b),4622618.0,4806795.0
201906,서구,외국인방문자(c),10628.0,8384.0
201906,서구,외부방문자(b+c),4633246.0,4815179.0
201906,서구,전체방문자(a+b+c),1.2397002E7,1.2679616E7
201907,서구,현지인방문자(a),7893802.0,8001892.0
201907,서구,외지인방문자(b),5189877.0,5022598.0
201907,서구,외국인방문자(c),13909.0,12627.0
201907,서구,외부방문자(b+c),5203786.0,5035225.0
201907,서구,전체방문자(a+b+c),1.3097588E7,1.3037117E7
201908,서구,현지인방문자(a),7529938.0,7845635.0
201908,서구,외지인방문자(b),5019875.0,4918942.0
201908,서구,외국인방문자(c),19876.0,17360.0
201908,서구,외부방문자(b+c),5039751.0,4936302.0
201908,서구,전체방문자(a+b+c),1.2569689E7,1.2781937E7
201909,서구,현지인방문자(a),7596096.0,7783874.0
201909,서구,외지인방문자(b),5157120.0,5287156.0
201909,서구,외국인방문자(c),16024.0,12473.0
201909,서구,외부방문자(b+c),5173145.0,5299629.0
201909,서구,전체방문자(a+b+c),1.276924E7,1.3083503E7
201910,서구,현지인방문자(a),7965842.0,7926947.0
201910,서구,외지인방문자(b),5130265.0,4958177.0
201910,서구,외국인방문자(c),16830.0,14812.0
201910,서구,외부방문자(b+c),5147095.0,4972989.0
201910,서구,전체방문자(a+b+c),1.3112938E7,1.2899936E7
201911,서구,현지인방문자(a),7872753.0,7392154.0
201911,서구,외지인방문자(b),5028804.0,4696240.0
201911,서구,외국인방문자(c),12041.0,9884.0
201911,서구,외부방문자(b+c),5040845.0,4706125.0
201911,서구,전체방문자(a+b+c),1.2913598E7,1.2098279E7
201912,서구,현지인방문자(a),8161030.0,7878286.0
201912,서구,외지인방문자(b),5347202.0,5162356.0
201912,서구,외국인방문자(c),14300.0,9810.0
201912,서구,외부방문자(b+c),5361502.0,5172166.0
201912,서구,전체방문자(a+b+c),1.3522533E7,1.3050453E7
