기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영도구,현지인방문자(a),1526732.0,1480342.0
201901,영도구,외지인방문자(b),1147290.0,1125089.0
201901,영도구,외국인방문자(c),34126.0,14169.0
201901,영도구,외부방문자(b+c),1181415.0,1139258.0
201901,영도구,전체방문자(a+b+c),2708147.0,2619601.0
201902,영도구,현지인방문자(a),1393606.0,1350374.0
201902,영도구,외지인방문자(b),1284280.0,1181845.0
201902,영도구,외국인방문자(c),35396.0,14246.0
201902,영도구,외부방문자(b+c),1319676.0,1196091.0
201902,영도구,전체방문자(a+b+c),2713281.0,2546464.0
201903,영도구,현지인방문자(a),1632225.0,1555060.0
201903,영도구,외지인방문자(b),1493216.0,1320284.0
201903,영도구,외국인방문자(c),45302.0,20570.0
201903,영도구,외부방문자(b+c),1538518.0,1340854.0
201903,영도구,전체방문자(a+b+c),3170743.0,2895915.0
201904,영도구,현지인방문자(a),1422953.0,1444877.0
201904,영도구,외지인방문자(b),1083915.0,1071931.0
201904,영도구,외국인방문자(c),54261.0,22390.0
201904,영도구,외부방문자(b+c),1138176.0,1094321.0
201904,영도구,전체방문자(a+b+c),2561129.0,2539198.0
201905,영도구,현지인방문자(a),1647356.0,1654426.0
201905,영도구,외지인방문자(b),1322832.0,1244484.0
201905,영도구,외국인방문자(c),48339.0,24954.0
201905,영도구,외부방문자(b+c),1371171.0,1269439.0
201905,영도구,전체방문자(a+b+c),3018527.0,2923864.0
201906,영도구,현지인방문자(a),1582371.0,1592724.0
201906,영도구,외지인방문자(b),1319766.0,1151916.0
201906,영도구,외국인방문자(c),53712.0,29069.0
201906,영도구,외부방문자(b+c),1373478.0,1180986.0
201906,영도구,전체방문자(a+b+c),2955849.0,2773710.0
201907,영도구,현지인방문자(a),1640096.0,1621718.0
201907,영도구,외지인방문자(b),1448223.0,1287478.0
201907,영도구,외국인방문자(c),50133.0,26613.0
201907,영도구,외부방문자(b+c),1498356.0,1314092.0
201907,영도구,전체방문자(a+b+c),3138452.0,2935810.0
201908,영도구,현지인방문자(a),1545222.0,1629236.0
201908,영도구,외지인방문자(b),1432298.0,1372175.0
201908,영도구,외국인방문자(c),49614.0,31574.0
201908,영도구,외부방문자(b+c),1481912.0,1403749.0
201908,영도구,전체방문자(a+b+c),3027134.0,3032985.0
201909,영도구,현지인방문자(a),1551872.0,1539262.0
201909,영도구,외지인방문자(b),1463483.0,1454386.0
201909,영도구,외국인방문자(c),56908.0,35931.0
201909,영도구,외부방문자(b+c),1520391.0,1490318.0
201909,영도구,전체방문자(a+b+c),3072263.0,3029579.0
201910,영도구,현지인방문자(a),1635778.0,1539678.0
201910,영도구,외지인방문자(b),1324936.0,1167670.0
201910,영도구,외국인방문자(c),62974.0,44665.0
201910,영도구,외부방문자(b+c),1387910.0,1212335.0
201910,영도구,전체방문자(a+b+c),3023687.0,2752013.0
201911,영도구,현지인방문자(a),1678624.0,1546366.0
201911,영도구,외지인방문자(b),1293862.0,1119657.0
201911,영도구,외국인방문자(c),59153.0,38122.0
201911,영도구,외부방문자(b+c),1353015.0,1157779.0
201911,영도구,전체방문자(a+b+c),3031640.0,2704145.0
201912,영도구,현지인방문자(a),1717737.0,1592244.0
201912,영도구,외지인방문자(b),1397196.0,1228010.0
201912,영도구,외국인방문자(c),60763.0,36253.0
201912,영도구,외부방문자(b+c),1457960.0,1264263.0
201912,영도구,전체방문자(a+b+c),3175697.0,2856508.0
