기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,세종특별자치시,현지인방문자(a),3540761.0,2853966.0
201901,세종특별자치시,외지인방문자(b),2042376.0,1890830.0
201901,세종특별자치시,외국인방문자(c),7030.0,4853.0
201901,세종특별자치시,외부방문자(b+c),2049406.0,1895683.0
201901,세종특별자치시,전체방문자(a+b+c),5590167.0,4749649.0
201902,세종특별자치시,현지인방문자(a),3092873.0,2520168.0
201902,세종특별자치시,외지인방문자(b),2074996.0,1942367.0
201902,세종특별자치시,외국인방문자(c),7519.0,5403.0
201902,세종특별자치시,외부방문자(b+c),2082515.0,1947770.0
201902,세종특별자치시,전체방문자(a+b+c),5175388.0,4467938.0
201903,세종특별자치시,현지인방문자(a),3712292.0,3237675.0
201903,세종특별자치시,외지인방문자(b),2735243.0,2555427.0
201903,세종특별자치시,외국인방문자(c),8464.0,7959.0
201903,세종특별자치시,외부방문자(b+c),2743707.0,2563386.0
201903,세종특별자치시,전체방문자(a+b+c),6456000.0,5801061.0
201904,세종특별자치시,현지인방문자(a),3526677.0,3098246.0
201904,세종특별자치시,외지인방문자(b),2079270.0,2077453.0
201904,세종특별자치시,외국인방문자(c),8277.0,5742.0
201904,세종특별자치시,외부방문자(b+c),2087546.0,2083195.0
201904,세종특별자치시,전체방문자(a+b+c),5614223.0,5181441.0
201905,세종특별자치시,현지인방문자(a),4084738.0,3615304.0
201905,세종특별자치시,외지인방문자(b),2287593.0,2243280.0
201905,세종특별자치시,외국인방문자(c),9503.0,5978.0
201905,세종특별자치시,외부방문자(b+c),2297096.0,2249257.0
201905,세종특별자치시,전체방문자(a+b+c),6381834.0,5864561.0
201906,세종특별자치시,현지인방문자(a),3988478.0,3545304.0
201906,세종특별자치시,외지인방문자(b),2104795.0,2060975.0
201906,세종특별자치시,외국인방문자(c),8495.0,5225.0
201906,세종특별자치시,외부방문자(b+c),2113290.0,2066200.0
201906,세종특별자치시,전체방문자(a+b+c),6101768.0,5611504.0
201907,세종특별자치시,현지인방문자(a),4043004.0,3509306.0
201907,세종특별자치시,외지인방문자(b),2372982.0,2175436.0
201907,세종특별자치시,외국인방문자(c),10476.0,8500.0
201907,세종특별자치시,외부방문자(b+c),2383458.0,2183935.0
201907,세종특별자치시,전체방문자(a+b+c),6426462.0,5693242.0
201908,세종특별자치시,현지인방문자(a),3791725.0,3431228.0
201908,세종특별자치시,외지인방문자(b),2319506.0,2118095.0
201908,세종특별자치시,외국인방문자(c),11926.0,9329.0
201908,세종특별자치시,외부방문자(b+c),2331432.0,2127424.0
201908,세종특별자치시,전체방문자(a+b+c),6123157.0,5558653.0
201909,세종특별자치시,현지인방문자(a),3924266.0,3518858.0
201909,세종특별자치시,외지인방문자(b),2502266.0,2724432.0
201909,세종특별자치시,외국인방문자(c),12582.0,9673.0
201909,세종특별자치시,외부방문자(b+c),2514848.0,2734104.0
201909,세종특별자치시,전체방문자(a+b+c),6439114.0,6252962.0
201910,세종특별자치시,현지인방문자(a),4243785.0,3668119.0
201910,세종특별자치시,외지인방문자(b),2390986.0,2308866.0
201910,세종특별자치시,외국인방문자(c),9512.0,8782.0
201910,세종특별자치시,외부방문자(b+c),2400498.0,2317648.0
201910,세종특별자치시,전체방문자(a+b+c),6644283.0,5985767.0
201911,세종특별자치시,현지인방문자(a),4285617.0,3502432.0
201911,세종특별자치시,외지인방문자(b),2297410.0,2051388.0
201911,세종특별자치시,외국인방문자(c),9298.0,8262.0
201911,세종특별자치시,외부방문자(b+c),2306709.0,2059651.0
201911,세종특별자치시,전체방문자(a+b+c),6592326.0,5562083.0
201912,세종특별자치시,현지인방문자(a),4374811.0,3653006.0
201912,세종특별자치시,외지인방문자(b),2249198.0,2066782.0
201912,세종특별자치시,외국인방문자(c),11739.0,8025.0
201912,세종특별자치시,외부방문자(b+c),2260937.0,2074806.0
201912,세종특별자치시,전체방문자(a+b+c),6635748.0,5727812.0
