기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,현지인방문자(a),2462348.0,2475578.0
201901,동구,외지인방문자(b),956630.0,974953.0
201901,동구,외국인방문자(c),27951.0,14529.0
201901,동구,외부방문자(b+c),984582.0,989482.0
201901,동구,전체방문자(a+b+c),3446930.0,3465060.0
201902,동구,현지인방문자(a),2163385.0,2200502.0
201902,동구,외지인방문자(b),958013.0,910420.0
201902,동구,외국인방문자(c),27140.0,14181.0
201902,동구,외부방문자(b+c),985153.0,924601.0
201902,동구,전체방문자(a+b+c),3148538.0,3125104.0
201903,동구,현지인방문자(a),2558598.0,2549264.0
201903,동구,외지인방문자(b),1119699.0,1021846.0
201903,동구,외국인방문자(c),24971.0,18771.0
201903,동구,외부방문자(b+c),1144670.0,1040617.0
201903,동구,전체방문자(a+b+c),3703268.0,3589880.0
201904,동구,현지인방문자(a),2377466.0,2392187.0
201904,동구,외지인방문자(b),917444.0,920678.0
201904,동구,외국인방문자(c),24609.0,15388.0
201904,동구,외부방문자(b+c),942053.0,936066.0
201904,동구,전체방문자(a+b+c),3319519.0,3328253.0
201905,동구,현지인방문자(a),2463996.0,2559081.0
201905,동구,외지인방문자(b),1058754.0,1009816.0
201905,동구,외국인방문자(c),27517.0,20305.0
201905,동구,외부방문자(b+c),1086271.0,1030121.0
201905,동구,전체방문자(a+b+c),3550267.0,3589202.0
201906,동구,현지인방문자(a),2385044.0,2495570.0
201906,동구,외지인방문자(b),948398.0,983122.0
201906,동구,외국인방문자(c),31263.0,16939.0
201906,동구,외부방문자(b+c),979661.0,1000061.0
201906,동구,전체방문자(a+b+c),3364705.0,3495631.0
201907,동구,현지인방문자(a),2602632.0,2565059.0
201907,동구,외지인방문자(b),1124655.0,1094569.0
201907,동구,외국인방문자(c),31974.0,18600.0
201907,동구,외부방문자(b+c),1156629.0,1113169.0
201907,동구,전체방문자(a+b+c),3759260.0,3678228.0
201908,동구,현지인방문자(a),2363249.0,2465442.0
201908,동구,외지인방문자(b),1159270.0,1084293.0
201908,동구,외국인방문자(c),32095.0,19647.0
201908,동구,외부방문자(b+c),1191365.0,1103940.0
201908,동구,전체방문자(a+b+c),3554614.0,3569382.0
201909,동구,현지인방문자(a),2315386.0,2369672.0
201909,동구,외지인방문자(b),1039860.0,1046658.0
201909,동구,외국인방문자(c),34653.0,22763.0
201909,동구,외부방문자(b+c),1074514.0,1069420.0
201909,동구,전체방문자(a+b+c),3389900.0,3439092.0
201910,동구,현지인방문자(a),2459835.0,2506444.0
201910,동구,외지인방문자(b),1002743.0,969416.0
201910,동구,외국인방문자(c),34522.0,24974.0
201910,동구,외부방문자(b+c),1037265.0,994390.0
201910,동구,전체방문자(a+b+c),3497100.0,3500835.0
201911,동구,현지인방문자(a),2393279.0,2378078.0
201911,동구,외지인방문자(b),953218.0,903060.0
201911,동구,외국인방문자(c),29764.0,28221.0
201911,동구,외부방문자(b+c),982982.0,931281.0
201911,동구,전체방문자(a+b+c),3376261.0,3309359.0
201912,동구,현지인방문자(a),2545305.0,2482792.0
201912,동구,외지인방문자(b),1032462.0,986566.0
201912,동구,외국인방문자(c),30390.0,22107.0
201912,동구,외부방문자(b+c),1062851.0,1008673.0
201912,동구,전체방문자(a+b+c),3608156.0,3491464.0
