기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,장성군,현지인방문자(a),513716.0,450614.0
201901,장성군,외지인방문자(b),522252.0,427833.0
201901,장성군,외국인방문자(c),620.0,428.0
201901,장성군,외부방문자(b+c),522873.0,428261.0
201901,장성군,전체방문자(a+b+c),1036589.0,878876.0
201902,장성군,현지인방문자(a),442718.0,418509.0
201902,장성군,외지인방문자(b),616788.0,532658.0
201902,장성군,외국인방문자(c),785.0,385.0
201902,장성군,외부방문자(b+c),617573.0,533043.0
201902,장성군,전체방문자(a+b+c),1060291.0,951552.0
201903,장성군,현지인방문자(a),533802.0,497644.0
201903,장성군,외지인방문자(b),738882.0,678314.0
201903,장성군,외국인방문자(c),892.0,568.0
201903,장성군,외부방문자(b+c),739773.0,678882.0
201903,장성군,전체방문자(a+b+c),1273576.0,1176526.0
201904,장성군,현지인방문자(a),512950.0,474397.0
201904,장성군,외지인방문자(b),640616.0,619230.0
201904,장성군,외국인방문자(c),1457.0,980.0
201904,장성군,외부방문자(b+c),642072.0,620211.0
201904,장성군,전체방문자(a+b+c),1155022.0,1094608.0
201905,장성군,현지인방문자(a),606050.0,579394.0
201905,장성군,외지인방문자(b),750666.0,699734.0
201905,장성군,외국인방문자(c),942.0,887.0
201905,장성군,외부방문자(b+c),751608.0,700621.0
201905,장성군,전체방문자(a+b+c),1357657.0,1280014.0
201906,장성군,현지인방문자(a),594282.0,544992.0
201906,장성군,외지인방문자(b),703374.0,647174.0
201906,장성군,외국인방문자(c),1723.0,1149.0
201906,장성군,외부방문자(b+c),705097.0,648324.0
201906,장성군,전체방문자(a+b+c),1299379.0,1193316.0
201907,장성군,현지인방문자(a),569625.0,521574.0
201907,장성군,외지인방문자(b),716376.0,693116.0
201907,장성군,외국인방문자(c),1646.0,904.0
201907,장성군,외부방문자(b+c),718023.0,694020.0
201907,장성군,전체방문자(a+b+c),1287648.0,1215593.0
201908,장성군,현지인방문자(a),547320.0,516134.0
201908,장성군,외지인방문자(b),770392.0,638740.0
201908,장성군,외국인방문자(c),1168.0,739.0
201908,장성군,외부방문자(b+c),771560.0,639479.0
201908,장성군,전체방문자(a+b+c),1318879.0,1155613.0
201909,장성군,현지인방문자(a),548104.0,544428.0
201909,장성군,외지인방문자(b),788830.0,814034.0
201909,장성군,외국인방문자(c),1170.0,1255.0
201909,장성군,외부방문자(b+c),790000.0,815288.0
201909,장성군,전체방문자(a+b+c),1338104.0,1359717.0
201910,장성군,현지인방문자(a),600838.0,552940.0
201910,장성군,외지인방문자(b),1062733.0,926877.0
201910,장성군,외국인방문자(c),4129.0,2319.0
201910,장성군,외부방문자(b+c),1066862.0,929196.0
201910,장성군,전체방문자(a+b+c),1667700.0,1482137.0
201911,장성군,현지인방문자(a),585714.0,505876.0
201911,장성군,외지인방문자(b),956886.0,818094.0
201911,장성군,외국인방문자(c),4444.0,3042.0
201911,장성군,외부방문자(b+c),961330.0,821136.0
201911,장성군,전체방문자(a+b+c),1547044.0,1327012.0
201912,장성군,현지인방문자(a),587153.0,515312.0
201912,장성군,외지인방문자(b),637528.0,544404.0
201912,장성군,외국인방문자(c),1181.0,1065.0
201912,장성군,외부방문자(b+c),638709.0,545469.0
201912,장성군,전체방문자(a+b+c),1225862.0,1060781.0
