기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,완주군,현지인방문자(a),793194.0,689930.0
201901,완주군,외지인방문자(b),1181089.0,974953.0
201901,완주군,외국인방문자(c),2203.0,1304.0
201901,완주군,외부방문자(b+c),1183292.0,976257.0
201901,완주군,전체방문자(a+b+c),1976486.0,1666187.0
201902,완주군,현지인방문자(a),664762.0,594580.0
201902,완주군,외지인방문자(b),1265204.0,1078620.0
201902,완주군,외국인방문자(c),3317.0,1499.0
201902,완주군,외부방문자(b+c),1268521.0,1080119.0
201902,완주군,전체방문자(a+b+c),1933283.0,1674699.0
201903,완주군,현지인방문자(a),814548.0,728679.0
201903,완주군,외지인방문자(b),1551144.0,1369158.0
201903,완주군,외국인방문자(c),6763.0,2118.0
201903,완주군,외부방문자(b+c),1557907.0,1371276.0
201903,완주군,전체방문자(a+b+c),2372455.0,2099955.0
201904,완주군,현지인방문자(a),764645.0,711788.0
201904,완주군,외지인방문자(b),1363103.0,1277272.0
201904,완주군,외국인방문자(c),4914.0,2400.0
201904,완주군,외부방문자(b+c),1368017.0,1279673.0
201904,완주군,전체방문자(a+b+c),2132662.0,1991461.0
201905,완주군,현지인방문자(a),888758.0,846160.0
201905,완주군,외지인방문자(b),1475856.0,1408054.0
201905,완주군,외국인방문자(c),4170.0,3522.0
201905,완주군,외부방문자(b+c),1480026.0,1411576.0
201905,완주군,전체방문자(a+b+c),2368784.0,2257736.0
201906,완주군,현지인방문자(a),871101.0,832478.0
201906,완주군,외지인방문자(b),1382042.0,1336650.0
201906,완주군,외국인방문자(c),4440.0,2552.0
201906,완주군,외부방문자(b+c),1386482.0,1339202.0
201906,완주군,전체방문자(a+b+c),2257583.0,2171681.0
201907,완주군,현지인방문자(a),855880.0,830725.0
201907,완주군,외지인방문자(b),1576746.0,1643492.0
201907,완주군,외국인방문자(c),4636.0,4315.0
201907,완주군,외부방문자(b+c),1581383.0,1647807.0
201907,완주군,전체방문자(a+b+c),2437262.0,2478532.0
201908,완주군,현지인방문자(a),821412.0,838866.0
201908,완주군,외지인방문자(b),1823255.0,1669738.0
201908,완주군,외국인방문자(c),6697.0,5333.0
201908,완주군,외부방문자(b+c),1829952.0,1675071.0
201908,완주군,전체방문자(a+b+c),2651364.0,2513937.0
201909,완주군,현지인방문자(a),849460.0,803996.0
201909,완주군,외지인방문자(b),1607970.0,1639596.0
201909,완주군,외국인방문자(c),10159.0,8253.0
201909,완주군,외부방문자(b+c),1618129.0,1647849.0
201909,완주군,전체방문자(a+b+c),2467589.0,2451844.0
201910,완주군,현지인방문자(a),844396.0,812018.0
201910,완주군,외지인방문자(b),1499113.0,1448828.0
201910,완주군,외국인방문자(c),6309.0,5754.0
201910,완주군,외부방문자(b+c),1505422.0,1454582.0
201910,완주군,전체방문자(a+b+c),2349818.0,2266600.0
201911,완주군,현지인방문자(a),846636.0,758866.0
201911,완주군,외지인방문자(b),1440912.0,1329846.0
201911,완주군,외국인방문자(c),7123.0,4389.0
201911,완주군,외부방문자(b+c),1448035.0,1334235.0
201911,완주군,전체방문자(a+b+c),2294671.0,2093101.0
201912,완주군,현지인방문자(a),874335.0,816448.0
201912,완주군,외지인방문자(b),1276352.0,1168192.0
201912,완주군,외국인방문자(c),3333.0,3099.0
201912,완주군,외부방문자(b+c),1279685.0,1171290.0
201912,완주군,전체방문자(a+b+c),2154020.0,1987739.0
