기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,제주시,현지인방문자(a),1.1639162E7,1.0941612E7
201901,제주시,외지인방문자(b),4087419.0,4047712.0
201901,제주시,외국인방문자(c),264182.0,121995.0
201901,제주시,외부방문자(b+c),4351601.0,4169707.0
201901,제주시,전체방문자(a+b+c),1.5990764E7,1.5111319E7
201902,제주시,현지인방문자(a),1.0383838E7,9914328.0
201902,제주시,외지인방문자(b),3831646.0,3387296.0
201902,제주시,외국인방문자(c),304807.0,143842.0
201902,제주시,외부방문자(b+c),4136453.0,3531139.0
201902,제주시,전체방문자(a+b+c),1.4520292E7,1.3445466E7
201903,제주시,현지인방문자(a),1.1906741E7,1.1648602E7
201903,제주시,외지인방문자(b),4439239.0,4242175.0
201903,제주시,외국인방문자(c),338800.0,169365.0
201903,제주시,외부방문자(b+c),4778039.0,4411540.0
201903,제주시,전체방문자(a+b+c),1.668478E7,1.6060142E7
201904,제주시,현지인방문자(a),1.1314072E7,1.1140129E7
201904,제주시,외지인방문자(b),4054536.0,4323168.0
201904,제주시,외국인방문자(c),412445.0,244068.0
201904,제주시,외부방문자(b+c),4466982.0,4567237.0
201904,제주시,전체방문자(a+b+c),1.5781054E7,1.5707366E7
201905,제주시,현지인방문자(a),1.1991525E7,1.1956042E7
201905,제주시,외지인방문자(b),4219946.0,4387016.0
201905,제주시,외국인방문자(c),394600.0,255402.0
201905,제주시,외부방문자(b+c),4614547.0,4642417.0
201905,제주시,전체방문자(a+b+c),1.6606072E7,1.6598459E7
201906,제주시,현지인방문자(a),1.1330672E7,1.1563772E7
201906,제주시,외지인방문자(b),4024867.0,4287129.0
201906,제주시,외국인방문자(c),399750.0,293371.0
201906,제주시,외부방문자(b+c),4424617.0,4580500.0
201906,제주시,전체방문자(a+b+c),1.575529E7,1.6144272E7
201907,제주시,현지인방문자(a),1.151739E7,1.1902174E7
201907,제주시,외지인방문자(b),4456284.0,4643660.0
201907,제주시,외국인방문자(c),421591.0,353263.0
201907,제주시,외부방문자(b+c),4877875.0,4996923.0
201907,제주시,전체방문자(a+b+c),1.6395266E7,1.6899097E7
201908,제주시,현지인방문자(a),1.1309662E7,1.1755961E7
201908,제주시,외지인방문자(b),4998578.0,4945829.0
201908,제주시,외국인방문자(c),496672.0,377468.0
201908,제주시,외부방문자(b+c),5495249.0,5323297.0
201908,제주시,전체방문자(a+b+c),1.6804911E7,1.7079258E7
201909,제주시,현지인방문자(a),1.0907446E7,1.1521674E7
201909,제주시,외지인방문자(b),4100719.0,4298312.0
201909,제주시,외국인방문자(c),428894.0,382904.0
201909,제주시,외부방문자(b+c),4529613.0,4681215.0
201909,제주시,전체방문자(a+b+c),1.5437058E7,1.620289E7
201910,제주시,현지인방문자(a),1.1629202E7,1.2071416E7
201910,제주시,외지인방문자(b),4639800.0,4289898.0
201910,제주시,외국인방문자(c),495328.0,405358.0
201910,제주시,외부방문자(b+c),5135127.0,4695255.0
201910,제주시,전체방문자(a+b+c),1.6764329E7,1.6766671E7
201911,제주시,현지인방문자(a),1.1344795E7,1.1598363E7
201911,제주시,외지인방문자(b),4245602.0,3862170.0
201911,제주시,외국인방문자(c),414418.0,314565.0
201911,제주시,외부방문자(b+c),4660020.0,4176734.0
201911,제주시,전체방문자(a+b+c),1.6004815E7,1.5775097E7
201912,제주시,현지인방문자(a),1.1669634E7,1.1836668E7
201912,제주시,외지인방문자(b),4321622.0,3661056.0
201912,제주시,외국인방문자(c),451196.0,314453.0
201912,제주시,외부방문자(b+c),4772817.0,3975509.0
201912,제주시,전체방문자(a+b+c),1.6442451E7,1.5812177E7
