기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,아산시,현지인방문자(a),4150534.0,4216632.0
201901,아산시,외지인방문자(b),2246450.0,2341885.0
201901,아산시,외국인방문자(c),13296.0,8827.0
201901,아산시,외부방문자(b+c),2259746.0,2350712.0
201901,아산시,전체방문자(a+b+c),6410281.0,6567344.0
201902,아산시,현지인방문자(a),3638656.0,3695559.0
201902,아산시,외지인방문자(b),2393696.0,2381648.0
201902,아산시,외국인방문자(c),13730.0,8343.0
201902,아산시,외부방문자(b+c),2407425.0,2389992.0
201902,아산시,전체방문자(a+b+c),6046081.0,6085551.0
201903,아산시,현지인방문자(a),4234598.0,4413451.0
201903,아산시,외지인방문자(b),3285012.0,3140364.0
201903,아산시,외국인방문자(c),14610.0,9705.0
201903,아산시,외부방문자(b+c),3299623.0,3150070.0
201903,아산시,전체방문자(a+b+c),7534220.0,7563521.0
201904,아산시,현지인방문자(a),3962920.0,4092238.0
201904,아산시,외지인방문자(b),2427740.0,2479068.0
201904,아산시,외국인방문자(c),14381.0,10233.0
201904,아산시,외부방문자(b+c),2442121.0,2489300.0
201904,아산시,전체방문자(a+b+c),6405041.0,6581539.0
201905,아산시,현지인방문자(a),4640601.0,4620228.0
201905,아산시,외지인방문자(b),2660756.0,2661813.0
201905,아산시,외국인방문자(c),14009.0,10187.0
201905,아산시,외부방문자(b+c),2674765.0,2672000.0
201905,아산시,전체방문자(a+b+c),7315366.0,7292227.0
201906,아산시,현지인방문자(a),4372886.0,4503586.0
201906,아산시,외지인방문자(b),2345948.0,2408028.0
201906,아산시,외국인방문자(c),11666.0,9955.0
201906,아산시,외부방문자(b+c),2357614.0,2417983.0
201906,아산시,전체방문자(a+b+c),6730500.0,6921569.0
201907,아산시,현지인방문자(a),4434706.0,4382312.0
201907,아산시,외지인방문자(b),2538140.0,2554825.0
201907,아산시,외국인방문자(c),16457.0,15481.0
201907,아산시,외부방문자(b+c),2554598.0,2570306.0
201907,아산시,전체방문자(a+b+c),6989304.0,6952617.0
201908,아산시,현지인방문자(a),4199468.0,4234226.0
201908,아산시,외지인방문자(b),2638825.0,2569084.0
201908,아산시,외국인방문자(c),21610.0,17367.0
201908,아산시,외부방문자(b+c),2660435.0,2586451.0
201908,아산시,전체방문자(a+b+c),6859903.0,6820677.0
201909,아산시,현지인방문자(a),4189213.0,4108958.0
201909,아산시,외지인방문자(b),2887689.0,2960206.0
201909,아산시,외국인방문자(c),25410.0,20030.0
201909,아산시,외부방문자(b+c),2913099.0,2980236.0
201909,아산시,전체방문자(a+b+c),7102312.0,7089194.0
201910,아산시,현지인방문자(a),4470988.0,4396200.0
201910,아산시,외지인방문자(b),2781740.0,2668267.0
201910,아산시,외국인방문자(c),21568.0,17899.0
201910,아산시,외부방문자(b+c),2803308.0,2686166.0
201910,아산시,전체방문자(a+b+c),7274296.0,7082366.0
201911,아산시,현지인방문자(a),4542559.0,4157450.0
201911,아산시,외지인방문자(b),2665922.0,2488598.0
201911,아산시,외국인방문자(c),20394.0,16299.0
201911,아산시,외부방문자(b+c),2686316.0,2504897.0
201911,아산시,전체방문자(a+b+c),7228875.0,6662347.0
201912,아산시,현지인방문자(a),4647926.0,4369894.0
201912,아산시,외지인방문자(b),2610062.0,2403051.0
201912,아산시,외국인방문자(c),18434.0,13676.0
201912,아산시,외부방문자(b+c),2628496.0,2416727.0
201912,아산시,전체방문자(a+b+c),7276422.0,6786620.0
