기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영동군,현지인방문자(a),804618.0,740030.0
201901,영동군,외지인방문자(b),422674.0,361424.0
201901,영동군,외국인방문자(c),855.0,524.0
201901,영동군,외부방문자(b+c),423529.0,361948.0
201901,영동군,전체방문자(a+b+c),1228147.0,1101977.0
201902,영동군,현지인방문자(a),717248.0,685349.0
201902,영동군,외지인방문자(b),522354.0,454206.0
201902,영동군,외국인방문자(c),663.0,683.0
201902,영동군,외부방문자(b+c),523017.0,454888.0
201902,영동군,전체방문자(a+b+c),1240265.0,1140237.0
201903,영동군,현지인방문자(a),835082.0,808374.0
201903,영동군,외지인방문자(b),537236.0,465031.0
201903,영동군,외국인방문자(c),840.0,799.0
201903,영동군,외부방문자(b+c),538076.0,465830.0
201903,영동군,전체방문자(a+b+c),1373159.0,1274204.0
201904,영동군,현지인방문자(a),819892.0,782817.0
201904,영동군,외지인방문자(b),505368.0,450740.0
201904,영동군,외국인방문자(c),1564.0,1086.0
201904,영동군,외부방문자(b+c),506933.0,451827.0
201904,영동군,전체방문자(a+b+c),1326825.0,1234644.0
201905,영동군,현지인방문자(a),902293.0,881542.0
201905,영동군,외지인방문자(b),578952.0,534468.0
201905,영동군,외국인방문자(c),1726.0,934.0
201905,영동군,외부방문자(b+c),580679.0,535402.0
201905,영동군,전체방문자(a+b+c),1482972.0,1416943.0
201906,영동군,현지인방문자(a),841432.0,845040.0
201906,영동군,외지인방문자(b),538520.0,497360.0
201906,영동군,외국인방문자(c),1203.0,455.0
201906,영동군,외부방문자(b+c),539724.0,497815.0
201906,영동군,전체방문자(a+b+c),1381155.0,1342855.0
201907,영동군,현지인방문자(a),845002.0,838019.0
201907,영동군,외지인방문자(b),561246.0,560147.0
201907,영동군,외국인방문자(c),1225.0,954.0
201907,영동군,외부방문자(b+c),562471.0,561101.0
201907,영동군,전체방문자(a+b+c),1407472.0,1399120.0
201908,영동군,현지인방문자(a),846576.0,828880.0
201908,영동군,외지인방문자(b),710094.0,611548.0
201908,영동군,외국인방문자(c),1524.0,996.0
201908,영동군,외부방문자(b+c),711618.0,612544.0
201908,영동군,전체방문자(a+b+c),1558194.0,1441424.0
201909,영동군,현지인방문자(a),836658.0,826595.0
201909,영동군,외지인방문자(b),675902.0,697956.0
201909,영동군,외국인방문자(c),1351.0,1146.0
201909,영동군,외부방문자(b+c),677253.0,699102.0
201909,영동군,전체방문자(a+b+c),1513911.0,1525697.0
201910,영동군,현지인방문자(a),888696.0,863828.0
201910,영동군,외지인방문자(b),559580.0,528980.0
201910,영동군,외국인방문자(c),1987.0,1405.0
201910,영동군,외부방문자(b+c),561567.0,530385.0
201910,영동군,전체방문자(a+b+c),1450263.0,1394213.0
201911,영동군,현지인방문자(a),871948.0,836118.0
201911,영동군,외지인방문자(b),527779.0,492300.0
201911,영동군,외국인방문자(c),1285.0,1071.0
201911,영동군,외부방문자(b+c),529064.0,493370.0
201911,영동군,전체방문자(a+b+c),1401012.0,1329489.0
201912,영동군,현지인방문자(a),878580.0,835464.0
201912,영동군,외지인방문자(b),455662.0,428396.0
201912,영동군,외국인방문자(c),1138.0,638.0
201912,영동군,외부방문자(b+c),456799.0,429035.0
201912,영동군,전체방문자(a+b+c),1335380.0,1264499.0
