기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,거제시,외지인방문자(b),931628.0,0.0
201901,거제시,외국인방문자(c),47104.0,0.0
201901,거제시,외부방문자(b+c),978732.0,0.0
201902,거제시,외지인방문자(b),1056525.0,0.0
201902,거제시,외국인방문자(c),36761.0,0.0
201902,거제시,외부방문자(b+c),1093286.0,0.0
201903,거제시,외지인방문자(b),1087647.0,0.0
201903,거제시,외국인방문자(c),41450.0,0.0
201903,거제시,외부방문자(b+c),1129098.0,0.0
201904,거제시,외지인방문자(b),1087499.0,0.0
201904,거제시,외국인방문자(c),44842.0,0.0
201904,거제시,외부방문자(b+c),1132341.0,0.0
201905,거제시,외지인방문자(b),1203457.0,0.0
201905,거제시,외국인방문자(c),44929.0,0.0
201905,거제시,외부방문자(b+c),1248387.0,0.0
201906,거제시,외지인방문자(b),1240309.0,0.0
201906,거제시,외국인방문자(c),40538.0,0.0
201906,거제시,외부방문자(b+c),1280847.0,0.0
201907,거제시,외지인방문자(b),1308103.0,0.0
201907,거제시,외국인방문자(c),46730.0,0.0
201907,거제시,외부방문자(b+c),1354833.0,0.0
201908,거제시,외지인방문자(b),1972641.0,0.0
201908,거제시,외국인방문자(c),45395.0,0.0
201908,거제시,외부방문자(b+c),2018036.0,0.0
201909,거제시,외지인방문자(b),1099093.0,0.0
201909,거제시,외국인방문자(c),43084.0,0.0
201909,거제시,외부방문자(b+c),1142178.0,0.0
201910,거제시,외지인방문자(b),1145558.0,0.0
201910,거제시,외국인방문자(c),52129.0,0.0
201910,거제시,외부방문자(b+c),1197687.0,0.0
201911,거제시,외지인방문자(b),1036747.0,0.0
201911,거제시,외국인방문자(c),48527.0,0.0
201911,거제시,외부방문자(b+c),1085274.0,0.0
201912,거제시,외지인방문자(b),1037834.0,0.0
201912,거제시,외국인방문자(c),48250.0,0.0
201912,거제시,외부방문자(b+c),1086084.0,0.0
