기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,김해시,외지인방문자(b),1706612.0,0.0
201901,김해시,외국인방문자(c),31327.0,0.0
201901,김해시,외부방문자(b+c),1737939.0,0.0
201902,김해시,외지인방문자(b),1925971.0,0.0
201902,김해시,외국인방문자(c),27889.0,0.0
201902,김해시,외부방문자(b+c),1953860.0,0.0
201903,김해시,외지인방문자(b),1747903.0,0.0
201903,김해시,외국인방문자(c),31310.0,0.0
201903,김해시,외부방문자(b+c),1779214.0,0.0
201904,김해시,외지인방문자(b),1706373.0,0.0
201904,김해시,외국인방문자(c),29282.0,0.0
201904,김해시,외부방문자(b+c),1735655.0,0.0
201905,김해시,외지인방문자(b),1896657.0,0.0
201905,김해시,외국인방문자(c),32327.0,0.0
201905,김해시,외부방문자(b+c),1928984.0,0.0
201906,김해시,외지인방문자(b),1893473.0,0.0
201906,김해시,외국인방문자(c),30839.0,0.0
201906,김해시,외부방문자(b+c),1924311.0,0.0
201907,김해시,외지인방문자(b),1850625.0,0.0
201907,김해시,외국인방문자(c),33425.0,0.0
201907,김해시,외부방문자(b+c),1884050.0,0.0
201908,김해시,외지인방문자(b),2126652.0,0.0
201908,김해시,외국인방문자(c),34566.0,0.0
201908,김해시,외부방문자(b+c),2161217.0,0.0
201909,김해시,외지인방문자(b),1951819.0,0.0
201909,김해시,외국인방문자(c),33929.0,0.0
201909,김해시,외부방문자(b+c),1985747.0,0.0
201910,김해시,외지인방문자(b),1839334.0,0.0
201910,김해시,외국인방문자(c),37692.0,0.0
201910,김해시,외부방문자(b+c),1877026.0,0.0
201911,김해시,외지인방문자(b),1767923.0,0.0
201911,김해시,외국인방문자(c),33318.0,0.0
201911,김해시,외부방문자(b+c),1801240.0,0.0
201912,김해시,외지인방문자(b),1844898.0,0.0
201912,김해시,외국인방문자(c),33768.0,0.0
201912,김해시,외부방문자(b+c),1878666.0,0.0
