기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,사천시,외지인방문자(b),566175.0,0.0
201901,사천시,외국인방문자(c),6587.0,0.0
201901,사천시,외부방문자(b+c),572761.0,0.0
201902,사천시,외지인방문자(b),717959.0,0.0
201902,사천시,외국인방문자(c),6471.0,0.0
201902,사천시,외부방문자(b+c),724430.0,0.0
201903,사천시,외지인방문자(b),685948.0,0.0
201903,사천시,외국인방문자(c),6949.0,0.0
201903,사천시,외부방문자(b+c),692897.0,0.0
201904,사천시,외지인방문자(b),748737.0,0.0
201904,사천시,외국인방문자(c),6598.0,0.0
201904,사천시,외부방문자(b+c),755335.0,0.0
201905,사천시,외지인방문자(b),739680.0,0.0
201905,사천시,외국인방문자(c),7058.0,0.0
201905,사천시,외부방문자(b+c),746737.0,0.0
201906,사천시,외지인방문자(b),680796.0,0.0
201906,사천시,외국인방문자(c),6905.0,0.0
201906,사천시,외부방문자(b+c),687701.0,0.0
201907,사천시,외지인방문자(b),699001.0,0.0
201907,사천시,외국인방문자(c),7820.0,0.0
201907,사천시,외부방문자(b+c),706821.0,0.0
201908,사천시,외지인방문자(b),865174.0,0.0
201908,사천시,외국인방문자(c),7519.0,0.0
201908,사천시,외부방문자(b+c),872693.0,0.0
201909,사천시,외지인방문자(b),774037.0,0.0
201909,사천시,외국인방문자(c),8502.0,0.0
201909,사천시,외부방문자(b+c),782539.0,0.0
201910,사천시,외지인방문자(b),728906.0,0.0
201910,사천시,외국인방문자(c),9170.0,0.0
201910,사천시,외부방문자(b+c),738076.0,0.0
201911,사천시,외지인방문자(b),651793.0,0.0
201911,사천시,외국인방문자(c),7875.0,0.0
201911,사천시,외부방문자(b+c),659669.0,0.0
201912,사천시,외지인방문자(b),649604.0,0.0
201912,사천시,외국인방문자(c),8674.0,0.0
201912,사천시,외부방문자(b+c),658278.0,0.0
