기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,의령군,외지인방문자(b),146824.0,0.0
201901,의령군,외국인방문자(c),1213.0,0.0
201901,의령군,외부방문자(b+c),148038.0,0.0
201902,의령군,외지인방문자(b),260073.0,0.0
201902,의령군,외국인방문자(c),1229.0,0.0
201902,의령군,외부방문자(b+c),261302.0,0.0
201903,의령군,외지인방문자(b),196877.0,0.0
201903,의령군,외국인방문자(c),1881.0,0.0
201903,의령군,외부방문자(b+c),198758.0,0.0
201904,의령군,외지인방문자(b),238401.0,0.0
201904,의령군,외국인방문자(c),2100.0,0.0
201904,의령군,외부방문자(b+c),240500.0,0.0
201905,의령군,외지인방문자(b),258589.0,0.0
201905,의령군,외국인방문자(c),2252.0,0.0
201905,의령군,외부방문자(b+c),260841.0,0.0
201906,의령군,외지인방문자(b),228202.0,0.0
201906,의령군,외국인방문자(c),2505.0,0.0
201906,의령군,외부방문자(b+c),230707.0,0.0
201907,의령군,외지인방문자(b),203761.0,0.0
201907,의령군,외국인방문자(c),1299.0,0.0
201907,의령군,외부방문자(b+c),205060.0,0.0
201908,의령군,외지인방문자(b),265749.0,0.0
201908,의령군,외국인방문자(c),1128.0,0.0
201908,의령군,외부방문자(b+c),266877.0,0.0
201909,의령군,외지인방문자(b),308701.0,0.0
201909,의령군,외국인방문자(c),1221.0,0.0
201909,의령군,외부방문자(b+c),309923.0,0.0
201910,의령군,외지인방문자(b),220581.0,0.0
201910,의령군,외국인방문자(c),1594.0,0.0
201910,의령군,외부방문자(b+c),222176.0,0.0
201911,의령군,외지인방문자(b),241343.0,0.0
201911,의령군,외국인방문자(c),1651.0,0.0
201911,의령군,외부방문자(b+c),242993.0,0.0
201912,의령군,외지인방문자(b),186498.0,0.0
201912,의령군,외국인방문자(c),1197.0,0.0
201912,의령군,외부방문자(b+c),187694.0,0.0
