기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창원시 마산합포구,외지인방문자(b),946296.0,0.0
201901,창원시 마산합포구,외국인방문자(c),8724.0,0.0
201901,창원시 마산합포구,외부방문자(b+c),955020.0,0.0
201902,창원시 마산합포구,외지인방문자(b),1093803.0,0.0
201902,창원시 마산합포구,외국인방문자(c),9125.0,0.0
201902,창원시 마산합포구,외부방문자(b+c),1102927.0,0.0
201903,창원시 마산합포구,외지인방문자(b),997603.0,0.0
201903,창원시 마산합포구,외국인방문자(c),10330.0,0.0
201903,창원시 마산합포구,외부방문자(b+c),1007933.0,0.0
201904,창원시 마산합포구,외지인방문자(b),957791.0,0.0
201904,창원시 마산합포구,외국인방문자(c),11716.0,0.0
201904,창원시 마산합포구,외부방문자(b+c),969507.0,0.0
201905,창원시 마산합포구,외지인방문자(b),997550.0,0.0
201905,창원시 마산합포구,외국인방문자(c),11179.0,0.0
201905,창원시 마산합포구,외부방문자(b+c),1008729.0,0.0
201906,창원시 마산합포구,외지인방문자(b),1019068.0,0.0
201906,창원시 마산합포구,외국인방문자(c),11996.0,0.0
201906,창원시 마산합포구,외부방문자(b+c),1031063.0,0.0
201907,창원시 마산합포구,외지인방문자(b),977004.0,0.0
201907,창원시 마산합포구,외국인방문자(c),11170.0,0.0
201907,창원시 마산합포구,외부방문자(b+c),988174.0,0.0
201908,창원시 마산합포구,외지인방문자(b),1134283.0,0.0
201908,창원시 마산합포구,외국인방문자(c),13453.0,0.0
201908,창원시 마산합포구,외부방문자(b+c),1147736.0,0.0
201909,창원시 마산합포구,외지인방문자(b),1164301.0,0.0
201909,창원시 마산합포구,외국인방문자(c),17330.0,0.0
201909,창원시 마산합포구,외부방문자(b+c),1181631.0,0.0
201910,창원시 마산합포구,외지인방문자(b),1112386.0,0.0
201910,창원시 마산합포구,외국인방문자(c),17683.0,0.0
201910,창원시 마산합포구,외부방문자(b+c),1130068.0,0.0
201911,창원시 마산합포구,외지인방문자(b),1100857.0,0.0
201911,창원시 마산합포구,외국인방문자(c),11829.0,0.0
201911,창원시 마산합포구,외부방문자(b+c),1112686.0,0.0
201912,창원시 마산합포구,외지인방문자(b),1085359.0,0.0
201912,창원시 마산합포구,외국인방문자(c),10700.0,0.0
201912,창원시 마산합포구,외부방문자(b+c),1096059.0,0.0
