기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창원시 의창구,외지인방문자(b),1305674.0,0.0
201901,창원시 의창구,외국인방문자(c),7400.0,0.0
201901,창원시 의창구,외부방문자(b+c),1313074.0,0.0
201902,창원시 의창구,외지인방문자(b),1397055.0,0.0
201902,창원시 의창구,외국인방문자(c),9105.0,0.0
201902,창원시 의창구,외부방문자(b+c),1406159.0,0.0
201903,창원시 의창구,외지인방문자(b),1358086.0,0.0
201903,창원시 의창구,외국인방문자(c),10230.0,0.0
201903,창원시 의창구,외부방문자(b+c),1368316.0,0.0
201904,창원시 의창구,외지인방문자(b),1348521.0,0.0
201904,창원시 의창구,외국인방문자(c),9484.0,0.0
201904,창원시 의창구,외부방문자(b+c),1358004.0,0.0
201905,창원시 의창구,외지인방문자(b),1389657.0,0.0
201905,창원시 의창구,외국인방문자(c),10357.0,0.0
201905,창원시 의창구,외부방문자(b+c),1400014.0,0.0
201906,창원시 의창구,외지인방문자(b),1344724.0,0.0
201906,창원시 의창구,외국인방문자(c),8187.0,0.0
201906,창원시 의창구,외부방문자(b+c),1352911.0,0.0
201907,창원시 의창구,외지인방문자(b),1296380.0,0.0
201907,창원시 의창구,외국인방문자(c),8868.0,0.0
201907,창원시 의창구,외부방문자(b+c),1305248.0,0.0
201908,창원시 의창구,외지인방문자(b),1323471.0,0.0
201908,창원시 의창구,외국인방문자(c),9867.0,0.0
201908,창원시 의창구,외부방문자(b+c),1333338.0,0.0
201909,창원시 의창구,외지인방문자(b),1456479.0,0.0
201909,창원시 의창구,외국인방문자(c),8876.0,0.0
201909,창원시 의창구,외부방문자(b+c),1465355.0,0.0
201910,창원시 의창구,외지인방문자(b),1394195.0,0.0
201910,창원시 의창구,외국인방문자(c),9272.0,0.0
201910,창원시 의창구,외부방문자(b+c),1403467.0,0.0
201911,창원시 의창구,외지인방문자(b),1411899.0,0.0
201911,창원시 의창구,외국인방문자(c),8960.0,0.0
201911,창원시 의창구,외부방문자(b+c),1420860.0,0.0
201912,창원시 의창구,외지인방문자(b),1500014.0,0.0
201912,창원시 의창구,외국인방문자(c),8204.0,0.0
201912,창원시 의창구,외부방문자(b+c),1508218.0,0.0
