기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,하동군,외지인방문자(b),246560.0,0.0
201901,하동군,외국인방문자(c),2103.0,0.0
201901,하동군,외부방문자(b+c),248663.0,0.0
201902,하동군,외지인방문자(b),425557.0,0.0
201902,하동군,외국인방문자(c),2073.0,0.0
201902,하동군,외부방문자(b+c),427630.0,0.0
201903,하동군,외지인방문자(b),573254.0,0.0
201903,하동군,외국인방문자(c),2244.0,0.0
201903,하동군,외부방문자(b+c),575498.0,0.0
201904,하동군,외지인방문자(b),438506.0,0.0
201904,하동군,외국인방문자(c),2658.0,0.0
201904,하동군,외부방문자(b+c),441164.0,0.0
201905,하동군,외지인방문자(b),442140.0,0.0
201905,하동군,외국인방문자(c),2517.0,0.0
201905,하동군,외부방문자(b+c),444657.0,0.0
201906,하동군,외지인방문자(b),380802.0,0.0
201906,하동군,외국인방문자(c),1955.0,0.0
201906,하동군,외부방문자(b+c),382758.0,0.0
201907,하동군,외지인방문자(b),422386.0,0.0
201907,하동군,외국인방문자(c),2386.0,0.0
201907,하동군,외부방문자(b+c),424773.0,0.0
201908,하동군,외지인방문자(b),701718.0,0.0
201908,하동군,외국인방문자(c),2281.0,0.0
201908,하동군,외부방문자(b+c),703999.0,0.0
201909,하동군,외지인방문자(b),501409.0,0.0
201909,하동군,외국인방문자(c),2344.0,0.0
201909,하동군,외부방문자(b+c),503752.0,0.0
201910,하동군,외지인방문자(b),403932.0,0.0
201910,하동군,외국인방문자(c),3360.0,0.0
201910,하동군,외부방문자(b+c),407292.0,0.0
201911,하동군,외지인방문자(b),406302.0,0.0
201911,하동군,외국인방문자(c),2467.0,0.0
201911,하동군,외부방문자(b+c),408769.0,0.0
201912,하동군,외지인방문자(b),299412.0,0.0
201912,하동군,외국인방문자(c),2849.0,0.0
201912,하동군,외부방문자(b+c),302261.0,0.0
