기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,합천군,외지인방문자(b),247227.0,0.0
201901,합천군,외국인방문자(c),1344.0,0.0
201901,합천군,외부방문자(b+c),248571.0,0.0
201902,합천군,외지인방문자(b),467287.0,0.0
201902,합천군,외국인방문자(c),1643.0,0.0
201902,합천군,외부방문자(b+c),468930.0,0.0
201903,합천군,외지인방문자(b),340859.0,0.0
201903,합천군,외국인방문자(c),2792.0,0.0
201903,합천군,외부방문자(b+c),343651.0,0.0
201904,합천군,외지인방문자(b),421414.0,0.0
201904,합천군,외국인방문자(c),3805.0,0.0
201904,합천군,외부방문자(b+c),425219.0,0.0
201905,합천군,외지인방문자(b),606153.0,0.0
201905,합천군,외국인방문자(c),4548.0,0.0
201905,합천군,외부방문자(b+c),610701.0,0.0
201906,합천군,외지인방문자(b),429741.0,0.0
201906,합천군,외국인방문자(c),4638.0,0.0
201906,합천군,외부방문자(b+c),434380.0,0.0
201907,합천군,외지인방문자(b),397634.0,0.0
201907,합천군,외국인방문자(c),3000.0,0.0
201907,합천군,외부방문자(b+c),400635.0,0.0
201908,합천군,외지인방문자(b),607226.0,0.0
201908,합천군,외국인방문자(c),2341.0,0.0
201908,합천군,외부방문자(b+c),609567.0,0.0
201909,합천군,외지인방문자(b),557799.0,0.0
201909,합천군,외국인방문자(c),2620.0,0.0
201909,합천군,외부방문자(b+c),560420.0,0.0
201910,합천군,외지인방문자(b),497887.0,0.0
201910,합천군,외국인방문자(c),4139.0,0.0
201910,합천군,외부방문자(b+c),502027.0,0.0
201911,합천군,외지인방문자(b),489172.0,0.0
201911,합천군,외국인방문자(c),3234.0,0.0
201911,합천군,외부방문자(b+c),492406.0,0.0
201912,합천군,외지인방문자(b),311601.0,0.0
201912,합천군,외국인방문자(c),1960.0,0.0
201912,합천군,외부방문자(b+c),313561.0,0.0
