기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,거창군,외지인방문자(b),238474.0,0.0
201901,거창군,외국인방문자(c),2013.0,0.0
201901,거창군,외부방문자(b+c),240487.0,0.0
201902,거창군,외지인방문자(b),366441.0,0.0
201902,거창군,외국인방문자(c),1903.0,0.0
201902,거창군,외부방문자(b+c),368344.0,0.0
201903,거창군,외지인방문자(b),233658.0,0.0
201903,거창군,외국인방문자(c),2160.0,0.0
201903,거창군,외부방문자(b+c),235818.0,0.0
201904,거창군,외지인방문자(b),251419.0,0.0
201904,거창군,외국인방문자(c),3296.0,0.0
201904,거창군,외부방문자(b+c),254715.0,0.0
201905,거창군,외지인방문자(b),313798.0,0.0
201905,거창군,외국인방문자(c),3054.0,0.0
201905,거창군,외부방문자(b+c),316852.0,0.0
201906,거창군,외지인방문자(b),300125.0,0.0
201906,거창군,외국인방문자(c),2141.0,0.0
201906,거창군,외부방문자(b+c),302266.0,0.0
201907,거창군,외지인방문자(b),363949.0,0.0
201907,거창군,외국인방문자(c),2017.0,0.0
201907,거창군,외부방문자(b+c),365966.0,0.0
201908,거창군,외지인방문자(b),578926.0,0.0
201908,거창군,외국인방문자(c),3327.0,0.0
201908,거창군,외부방문자(b+c),582253.0,0.0
201909,거창군,외지인방문자(b),439591.0,0.0
201909,거창군,외국인방문자(c),3823.0,0.0
201909,거창군,외부방문자(b+c),443414.0,0.0
201910,거창군,외지인방문자(b),280399.0,0.0
201910,거창군,외국인방문자(c),3815.0,0.0
201910,거창군,외부방문자(b+c),284214.0,0.0
201911,거창군,외지인방문자(b),307796.0,0.0
201911,거창군,외국인방문자(c),2993.0,0.0
201911,거창군,외부방문자(b+c),310789.0,0.0
201912,거창군,외지인방문자(b),254096.0,0.0
201912,거창군,외국인방문자(c),2281.0,0.0
201912,거창군,외부방문자(b+c),256377.0,0.0
