기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남해군,외지인방문자(b),372726.0,0.0
201901,남해군,외국인방문자(c),7733.0,0.0
201901,남해군,외부방문자(b+c),380459.0,0.0
201902,남해군,외지인방문자(b),562894.0,0.0
201902,남해군,외국인방문자(c),8218.0,0.0
201902,남해군,외부방문자(b+c),571112.0,0.0
201903,남해군,외지인방문자(b),503800.0,0.0
201903,남해군,외국인방문자(c),9193.0,0.0
201903,남해군,외부방문자(b+c),512993.0,0.0
201904,남해군,외지인방문자(b),504013.0,0.0
201904,남해군,외국인방문자(c),9019.0,0.0
201904,남해군,외부방문자(b+c),513031.0,0.0
201905,남해군,외지인방문자(b),643020.0,0.0
201905,남해군,외국인방문자(c),9610.0,0.0
201905,남해군,외부방문자(b+c),652630.0,0.0
201906,남해군,외지인방문자(b),582566.0,0.0
201906,남해군,외국인방문자(c),8765.0,0.0
201906,남해군,외부방문자(b+c),591331.0,0.0
201907,남해군,외지인방문자(b),592840.0,0.0
201907,남해군,외국인방문자(c),10362.0,0.0
201907,남해군,외부방문자(b+c),603203.0,0.0
201908,남해군,외지인방문자(b),1002717.0,0.0
201908,남해군,외국인방문자(c),11028.0,0.0
201908,남해군,외부방문자(b+c),1013745.0,0.0
201909,남해군,외지인방문자(b),577228.0,0.0
201909,남해군,외국인방문자(c),10971.0,0.0
201909,남해군,외부방문자(b+c),588199.0,0.0
201910,남해군,외지인방문자(b),543391.0,0.0
201910,남해군,외국인방문자(c),10491.0,0.0
201910,남해군,외부방문자(b+c),553881.0,0.0
201911,남해군,외지인방문자(b),466644.0,0.0
201911,남해군,외국인방문자(c),8382.0,0.0
201911,남해군,외부방문자(b+c),475026.0,0.0
201912,남해군,외지인방문자(b),437545.0,0.0
201912,남해군,외국인방문자(c),8251.0,0.0
201912,남해군,외부방문자(b+c),445796.0,0.0
