기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,산청군,외지인방문자(b),276583.0,0.0
201901,산청군,외국인방문자(c),1403.0,0.0
201901,산청군,외부방문자(b+c),277986.0,0.0
201902,산청군,외지인방문자(b),397544.0,0.0
201902,산청군,외국인방문자(c),1614.0,0.0
201902,산청군,외부방문자(b+c),399158.0,0.0
201903,산청군,외지인방문자(b),323603.0,0.0
201903,산청군,외국인방문자(c),1799.0,0.0
201903,산청군,외부방문자(b+c),325402.0,0.0
201904,산청군,외지인방문자(b),385054.0,0.0
201904,산청군,외국인방문자(c),2221.0,0.0
201904,산청군,외부방문자(b+c),387275.0,0.0
201905,산청군,외지인방문자(b),521540.0,0.0
201905,산청군,외국인방문자(c),2200.0,0.0
201905,산청군,외부방문자(b+c),523740.0,0.0
201906,산청군,외지인방문자(b),462244.0,0.0
201906,산청군,외국인방문자(c),1994.0,0.0
201906,산청군,외부방문자(b+c),464238.0,0.0
201907,산청군,외지인방문자(b),606832.0,0.0
201907,산청군,외국인방문자(c),2245.0,0.0
201907,산청군,외부방문자(b+c),609077.0,0.0
201908,산청군,외지인방문자(b),1030166.0,0.0
201908,산청군,외국인방문자(c),2097.0,0.0
201908,산청군,외부방문자(b+c),1032262.0,0.0
201909,산청군,외지인방문자(b),490980.0,0.0
201909,산청군,외국인방문자(c),2052.0,0.0
201909,산청군,외부방문자(b+c),493032.0,0.0
201910,산청군,외지인방문자(b),449348.0,0.0
201910,산청군,외국인방문자(c),2542.0,0.0
201910,산청군,외부방문자(b+c),451890.0,0.0
201911,산청군,외지인방문자(b),409799.0,0.0
201911,산청군,외국인방문자(c),2287.0,0.0
201911,산청군,외부방문자(b+c),412087.0,0.0
201912,산청군,외지인방문자(b),317924.0,0.0
201912,산청군,외국인방문자(c),2272.0,0.0
201912,산청군,외부방문자(b+c),320195.0,0.0
