기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,진주시,외지인방문자(b),932052.0,0.0
201901,진주시,외국인방문자(c),11072.0,0.0
201901,진주시,외부방문자(b+c),943123.0,0.0
201902,진주시,외지인방문자(b),1221947.0,0.0
201902,진주시,외국인방문자(c),11450.0,0.0
201902,진주시,외부방문자(b+c),1233396.0,0.0
201903,진주시,외지인방문자(b),990476.0,0.0
201903,진주시,외국인방문자(c),12734.0,0.0
201903,진주시,외부방문자(b+c),1003210.0,0.0
201904,진주시,외지인방문자(b),972480.0,0.0
201904,진주시,외국인방문자(c),11761.0,0.0
201904,진주시,외부방문자(b+c),984241.0,0.0
201905,진주시,외지인방문자(b),1078165.0,0.0
201905,진주시,외국인방문자(c),12651.0,0.0
201905,진주시,외부방문자(b+c),1090816.0,0.0
201906,진주시,외지인방문자(b),1019568.0,0.0
201906,진주시,외국인방문자(c),12296.0,0.0
201906,진주시,외부방문자(b+c),1031864.0,0.0
201907,진주시,외지인방문자(b),971331.0,0.0
201907,진주시,외국인방문자(c),13132.0,0.0
201907,진주시,외부방문자(b+c),984463.0,0.0
201908,진주시,외지인방문자(b),1137700.0,0.0
201908,진주시,외국인방문자(c),12425.0,0.0
201908,진주시,외부방문자(b+c),1150125.0,0.0
201909,진주시,외지인방문자(b),1254269.0,0.0
201909,진주시,외국인방문자(c),14224.0,0.0
201909,진주시,외부방문자(b+c),1268493.0,0.0
201910,진주시,외지인방문자(b),1256208.0,0.0
201910,진주시,외국인방문자(c),16694.0,0.0
201910,진주시,외부방문자(b+c),1272902.0,0.0
201911,진주시,외지인방문자(b),1033353.0,0.0
201911,진주시,외국인방문자(c),14337.0,0.0
201911,진주시,외부방문자(b+c),1047690.0,0.0
201912,진주시,외지인방문자(b),1053023.0,0.0
201912,진주시,외국인방문자(c),13999.0,0.0
201912,진주시,외부방문자(b+c),1067023.0,0.0
