기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창원시 마산회원구,외지인방문자(b),847404.0,0.0
201901,창원시 마산회원구,외국인방문자(c),4898.0,0.0
201901,창원시 마산회원구,외부방문자(b+c),852302.0,0.0
201902,창원시 마산회원구,외지인방문자(b),1041911.0,0.0
201902,창원시 마산회원구,외국인방문자(c),4793.0,0.0
201902,창원시 마산회원구,외부방문자(b+c),1046704.0,0.0
201903,창원시 마산회원구,외지인방문자(b),898209.0,0.0
201903,창원시 마산회원구,외국인방문자(c),5125.0,0.0
201903,창원시 마산회원구,외부방문자(b+c),903334.0,0.0
201904,창원시 마산회원구,외지인방문자(b),913964.0,0.0
201904,창원시 마산회원구,외국인방문자(c),5178.0,0.0
201904,창원시 마산회원구,외부방문자(b+c),919142.0,0.0
201905,창원시 마산회원구,외지인방문자(b),1006858.0,0.0
201905,창원시 마산회원구,외국인방문자(c),5366.0,0.0
201905,창원시 마산회원구,외부방문자(b+c),1012224.0,0.0
201906,창원시 마산회원구,외지인방문자(b),948638.0,0.0
201906,창원시 마산회원구,외국인방문자(c),4830.0,0.0
201906,창원시 마산회원구,외부방문자(b+c),953468.0,0.0
201907,창원시 마산회원구,외지인방문자(b),933517.0,0.0
201907,창원시 마산회원구,외국인방문자(c),5393.0,0.0
201907,창원시 마산회원구,외부방문자(b+c),938910.0,0.0
201908,창원시 마산회원구,외지인방문자(b),995481.0,0.0
201908,창원시 마산회원구,외국인방문자(c),5740.0,0.0
201908,창원시 마산회원구,외부방문자(b+c),1001221.0,0.0
201909,창원시 마산회원구,외지인방문자(b),1073357.0,0.0
201909,창원시 마산회원구,외국인방문자(c),5113.0,0.0
201909,창원시 마산회원구,외부방문자(b+c),1078470.0,0.0
201910,창원시 마산회원구,외지인방문자(b),861212.0,0.0
201910,창원시 마산회원구,외국인방문자(c),5578.0,0.0
201910,창원시 마산회원구,외부방문자(b+c),866790.0,0.0
201911,창원시 마산회원구,외지인방문자(b),886576.0,0.0
201911,창원시 마산회원구,외국인방문자(c),4955.0,0.0
201911,창원시 마산회원구,외부방문자(b+c),891532.0,0.0
201912,창원시 마산회원구,외지인방문자(b),986711.0,0.0
201912,창원시 마산회원구,외국인방문자(c),5193.0,0.0
201912,창원시 마산회원구,외부방문자(b+c),991904.0,0.0
