기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창원시 진해구,외지인방문자(b),630505.0,0.0
201901,창원시 진해구,외국인방문자(c),13419.0,0.0
201901,창원시 진해구,외부방문자(b+c),643924.0,0.0
201902,창원시 진해구,외지인방문자(b),709252.0,0.0
201902,창원시 진해구,외국인방문자(c),12085.0,0.0
201902,창원시 진해구,외부방문자(b+c),721337.0,0.0
201903,창원시 진해구,외지인방문자(b),824838.0,0.0
201903,창원시 진해구,외국인방문자(c),15212.0,0.0
201903,창원시 진해구,외부방문자(b+c),840050.0,0.0
201904,창원시 진해구,외지인방문자(b),794127.0,0.0
201904,창원시 진해구,외국인방문자(c),17911.0,0.0
201904,창원시 진해구,외부방문자(b+c),812037.0,0.0
201905,창원시 진해구,외지인방문자(b),721034.0,0.0
201905,창원시 진해구,외국인방문자(c),14204.0,0.0
201905,창원시 진해구,외부방문자(b+c),735238.0,0.0
201906,창원시 진해구,외지인방문자(b),724822.0,0.0
201906,창원시 진해구,외국인방문자(c),13737.0,0.0
201906,창원시 진해구,외부방문자(b+c),738559.0,0.0
201907,창원시 진해구,외지인방문자(b),689451.0,0.0
201907,창원시 진해구,외국인방문자(c),15850.0,0.0
201907,창원시 진해구,외부방문자(b+c),705301.0,0.0
201908,창원시 진해구,외지인방문자(b),760705.0,0.0
201908,창원시 진해구,외국인방문자(c),18062.0,0.0
201908,창원시 진해구,외부방문자(b+c),778766.0,0.0
201909,창원시 진해구,외지인방문자(b),775558.0,0.0
201909,창원시 진해구,외국인방문자(c),17024.0,0.0
201909,창원시 진해구,외부방문자(b+c),792581.0,0.0
201910,창원시 진해구,외지인방문자(b),714916.0,0.0
201910,창원시 진해구,외국인방문자(c),18944.0,0.0
201910,창원시 진해구,외부방문자(b+c),733859.0,0.0
201911,창원시 진해구,외지인방문자(b),710313.0,0.0
201911,창원시 진해구,외국인방문자(c),15432.0,0.0
201911,창원시 진해구,외부방문자(b+c),725745.0,0.0
201912,창원시 진해구,외지인방문자(b),728164.0,0.0
201912,창원시 진해구,외국인방문자(c),14338.0,0.0
201912,창원시 진해구,외부방문자(b+c),742502.0,0.0
