기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,함안군,외지인방문자(b),343577.0,0.0
201901,함안군,외국인방문자(c),4240.0,0.0
201901,함안군,외부방문자(b+c),347816.0,0.0
201902,함안군,외지인방문자(b),467905.0,0.0
201902,함안군,외국인방문자(c),3695.0,0.0
201902,함안군,외부방문자(b+c),471600.0,0.0
201903,함안군,외지인방문자(b),396248.0,0.0
201903,함안군,외국인방문자(c),3968.0,0.0
201903,함안군,외부방문자(b+c),400215.0,0.0
201904,함안군,외지인방문자(b),417218.0,0.0
201904,함안군,외국인방문자(c),4324.0,0.0
201904,함안군,외부방문자(b+c),421542.0,0.0
201905,함안군,외지인방문자(b),445843.0,0.0
201905,함안군,외국인방문자(c),4359.0,0.0
201905,함안군,외부방문자(b+c),450203.0,0.0
201906,함안군,외지인방문자(b),422783.0,0.0
201906,함안군,외국인방문자(c),4520.0,0.0
201906,함안군,외부방문자(b+c),427303.0,0.0
201907,함안군,외지인방문자(b),399549.0,0.0
201907,함안군,외국인방문자(c),4937.0,0.0
201907,함안군,외부방문자(b+c),404486.0,0.0
201908,함안군,외지인방문자(b),452045.0,0.0
201908,함안군,외국인방문자(c),4633.0,0.0
201908,함안군,외부방문자(b+c),456678.0,0.0
201909,함안군,외지인방문자(b),546638.0,0.0
201909,함안군,외국인방문자(c),5248.0,0.0
201909,함안군,외부방문자(b+c),551886.0,0.0
201910,함안군,외지인방문자(b),452633.0,0.0
201910,함안군,외국인방문자(c),5814.0,0.0
201910,함안군,외부방문자(b+c),458447.0,0.0
201911,함안군,외지인방문자(b),461764.0,0.0
201911,함안군,외국인방문자(c),5097.0,0.0
201911,함안군,외부방문자(b+c),466861.0,0.0
201912,함안군,외지인방문자(b),391844.0,0.0
201912,함안군,외국인방문자(c),4582.0,0.0
201912,함안군,외부방문자(b+c),396426.0,0.0
