기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,고성군,외지인방문자(b),347618.0,0.0
201901,고성군,외국인방문자(c),3449.0,0.0
201901,고성군,외부방문자(b+c),351067.0,0.0
201902,고성군,외지인방문자(b),502338.0,0.0
201902,고성군,외국인방문자(c),2987.0,0.0
201902,고성군,외부방문자(b+c),505324.0,0.0
201903,고성군,외지인방문자(b),429490.0,0.0
201903,고성군,외국인방문자(c),3407.0,0.0
201903,고성군,외부방문자(b+c),432897.0,0.0
201904,고성군,외지인방문자(b),420837.0,0.0
201904,고성군,외국인방문자(c),3357.0,0.0
201904,고성군,외부방문자(b+c),424194.0,0.0
201905,고성군,외지인방문자(b),507367.0,0.0
201905,고성군,외국인방문자(c),3594.0,0.0
201905,고성군,외부방문자(b+c),510962.0,0.0
201906,고성군,외지인방문자(b),466396.0,0.0
201906,고성군,외국인방문자(c),2866.0,0.0
201906,고성군,외부방문자(b+c),469262.0,0.0
201907,고성군,외지인방문자(b),452215.0,0.0
201907,고성군,외국인방문자(c),3412.0,0.0
201907,고성군,외부방문자(b+c),455627.0,0.0
201908,고성군,외지인방문자(b),573475.0,0.0
201908,고성군,외국인방문자(c),3560.0,0.0
201908,고성군,외부방문자(b+c),577035.0,0.0
201909,고성군,외지인방문자(b),570952.0,0.0
201909,고성군,외국인방문자(c),3526.0,0.0
201909,고성군,외부방문자(b+c),574478.0,0.0
201910,고성군,외지인방문자(b),501990.0,0.0
201910,고성군,외국인방문자(c),4469.0,0.0
201910,고성군,외부방문자(b+c),506459.0,0.0
201911,고성군,외지인방문자(b),447722.0,0.0
201911,고성군,외국인방문자(c),4422.0,0.0
201911,고성군,외부방문자(b+c),452144.0,0.0
201912,고성군,외지인방문자(b),411771.0,0.0
201912,고성군,외국인방문자(c),4677.0,0.0
201912,고성군,외부방문자(b+c),416447.0,0.0
