기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,밀양시,외지인방문자(b),469371.0,0.0
201901,밀양시,외국인방문자(c),6438.0,0.0
201901,밀양시,외부방문자(b+c),475809.0,0.0
201902,밀양시,외지인방문자(b),686058.0,0.0
201902,밀양시,외국인방문자(c),6596.0,0.0
201902,밀양시,외부방문자(b+c),692653.0,0.0
201903,밀양시,외지인방문자(b),627518.0,0.0
201903,밀양시,외국인방문자(c),7644.0,0.0
201903,밀양시,외부방문자(b+c),635162.0,0.0
201904,밀양시,외지인방문자(b),597695.0,0.0
201904,밀양시,외국인방문자(c),7192.0,0.0
201904,밀양시,외부방문자(b+c),604887.0,0.0
201905,밀양시,외지인방문자(b),755839.0,0.0
201905,밀양시,외국인방문자(c),7793.0,0.0
201905,밀양시,외부방문자(b+c),763632.0,0.0
201906,밀양시,외지인방문자(b),728178.0,0.0
201906,밀양시,외국인방문자(c),6760.0,0.0
201906,밀양시,외부방문자(b+c),734938.0,0.0
201907,밀양시,외지인방문자(b),758146.0,0.0
201907,밀양시,외국인방문자(c),6357.0,0.0
201907,밀양시,외부방문자(b+c),764503.0,0.0
201908,밀양시,외지인방문자(b),1128315.0,0.0
201908,밀양시,외국인방문자(c),6570.0,0.0
201908,밀양시,외부방문자(b+c),1134885.0,0.0
201909,밀양시,외지인방문자(b),808421.0,0.0
201909,밀양시,외국인방문자(c),6933.0,0.0
201909,밀양시,외부방문자(b+c),815354.0,0.0
201910,밀양시,외지인방문자(b),711283.0,0.0
201910,밀양시,외국인방문자(c),9072.0,0.0
201910,밀양시,외부방문자(b+c),720354.0,0.0
201911,밀양시,외지인방문자(b),737307.0,0.0
201911,밀양시,외국인방문자(c),7970.0,0.0
201911,밀양시,외부방문자(b+c),745277.0,0.0
201912,밀양시,외지인방문자(b),563403.0,0.0
201912,밀양시,외국인방문자(c),7377.0,0.0
201912,밀양시,외부방문자(b+c),570780.0,0.0
