기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,양산시,외지인방문자(b),1444929.0,0.0
201901,양산시,외국인방문자(c),15871.0,0.0
201901,양산시,외부방문자(b+c),1460800.0,0.0
201902,양산시,외지인방문자(b),1519228.0,0.0
201902,양산시,외국인방문자(c),14010.0,0.0
201902,양산시,외부방문자(b+c),1533238.0,0.0
201903,양산시,외지인방문자(b),1618439.0,0.0
201903,양산시,외국인방문자(c),13077.0,0.0
201903,양산시,외부방문자(b+c),1631516.0,0.0
201904,양산시,외지인방문자(b),1364992.0,0.0
201904,양산시,외국인방문자(c),13469.0,0.0
201904,양산시,외부방문자(b+c),1378461.0,0.0
201905,양산시,외지인방문자(b),1537318.0,0.0
201905,양산시,외국인방문자(c),14348.0,0.0
201905,양산시,외부방문자(b+c),1551666.0,0.0
201906,양산시,외지인방문자(b),1524852.0,0.0
201906,양산시,외국인방문자(c),13353.0,0.0
201906,양산시,외부방문자(b+c),1538205.0,0.0
201907,양산시,외지인방문자(b),1555606.0,0.0
201907,양산시,외국인방문자(c),15278.0,0.0
201907,양산시,외부방문자(b+c),1570885.0,0.0
201908,양산시,외지인방문자(b),1880925.0,0.0
201908,양산시,외국인방문자(c),15073.0,0.0
201908,양산시,외부방문자(b+c),1895997.0,0.0
201909,양산시,외지인방문자(b),1535248.0,0.0
201909,양산시,외국인방문자(c),15008.0,0.0
201909,양산시,외부방문자(b+c),1550257.0,0.0
201910,양산시,외지인방문자(b),1524209.0,0.0
201910,양산시,외국인방문자(c),16314.0,0.0
201910,양산시,외부방문자(b+c),1540523.0,0.0
201911,양산시,외지인방문자(b),1450604.0,0.0
201911,양산시,외국인방문자(c),14412.0,0.0
201911,양산시,외부방문자(b+c),1465016.0,0.0
201912,양산시,외지인방문자(b),1535195.0,0.0
201912,양산시,외국인방문자(c),15516.0,0.0
201912,양산시,외부방문자(b+c),1550711.0,0.0
