기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창녕군,외지인방문자(b),441851.0,0.0
201901,창녕군,외국인방문자(c),4045.0,0.0
201901,창녕군,외부방문자(b+c),445896.0,0.0
201902,창녕군,외지인방문자(b),642632.0,0.0
201902,창녕군,외국인방문자(c),5901.0,0.0
201902,창녕군,외부방문자(b+c),648533.0,0.0
201903,창녕군,외지인방문자(b),525370.0,0.0
201903,창녕군,외국인방문자(c),10816.0,0.0
201903,창녕군,외부방문자(b+c),536186.0,0.0
201904,창녕군,외지인방문자(b),637290.0,0.0
201904,창녕군,외국인방문자(c),12015.0,0.0
201904,창녕군,외부방문자(b+c),649305.0,0.0
201905,창녕군,외지인방문자(b),554583.0,0.0
201905,창녕군,외국인방문자(c),14603.0,0.0
201905,창녕군,외부방문자(b+c),569186.0,0.0
201906,창녕군,외지인방문자(b),557189.0,0.0
201906,창녕군,외국인방문자(c),13337.0,0.0
201906,창녕군,외부방문자(b+c),570526.0,0.0
201907,창녕군,외지인방문자(b),464289.0,0.0
201907,창녕군,외국인방문자(c),7411.0,0.0
201907,창녕군,외부방문자(b+c),471700.0,0.0
201908,창녕군,외지인방문자(b),520944.0,0.0
201908,창녕군,외국인방문자(c),5072.0,0.0
201908,창녕군,외부방문자(b+c),526016.0,0.0
201909,창녕군,외지인방문자(b),611387.0,0.0
201909,창녕군,외국인방문자(c),5721.0,0.0
201909,창녕군,외부방문자(b+c),617109.0,0.0
201910,창녕군,외지인방문자(b),537054.0,0.0
201910,창녕군,외국인방문자(c),12008.0,0.0
201910,창녕군,외부방문자(b+c),549062.0,0.0
201911,창녕군,외지인방문자(b),555857.0,0.0
201911,창녕군,외국인방문자(c),8282.0,0.0
201911,창녕군,외부방문자(b+c),564139.0,0.0
201912,창녕군,외지인방문자(b),482128.0,0.0
201912,창녕군,외국인방문자(c),4775.0,0.0
201912,창녕군,외부방문자(b+c),486904.0,0.0
