기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,창원시 성산구,외지인방문자(b),1281653.0,0.0
201901,창원시 성산구,외국인방문자(c),17291.0,0.0
201901,창원시 성산구,외부방문자(b+c),1298943.0,0.0
201902,창원시 성산구,외지인방문자(b),1349359.0,0.0
201902,창원시 성산구,외국인방문자(c),19591.0,0.0
201902,창원시 성산구,외부방문자(b+c),1368950.0,0.0
201903,창원시 성산구,외지인방문자(b),1373431.0,0.0
201903,창원시 성산구,외국인방문자(c),23624.0,0.0
201903,창원시 성산구,외부방문자(b+c),1397055.0,0.0
201904,창원시 성산구,외지인방문자(b),1304202.0,0.0
201904,창원시 성산구,외국인방문자(c),23541.0,0.0
201904,창원시 성산구,외부방문자(b+c),1327743.0,0.0
201905,창원시 성산구,외지인방문자(b),1362863.0,0.0
201905,창원시 성산구,외국인방문자(c),22320.0,0.0
201905,창원시 성산구,외부방문자(b+c),1385183.0,0.0
201906,창원시 성산구,외지인방문자(b),1364548.0,0.0
201906,창원시 성산구,외국인방문자(c),21799.0,0.0
201906,창원시 성산구,외부방문자(b+c),1386347.0,0.0
201907,창원시 성산구,외지인방문자(b),1320689.0,0.0
201907,창원시 성산구,외국인방문자(c),21542.0,0.0
201907,창원시 성산구,외부방문자(b+c),1342231.0,0.0
201908,창원시 성산구,외지인방문자(b),1382280.0,0.0
201908,창원시 성산구,외국인방문자(c),23324.0,0.0
201908,창원시 성산구,외부방문자(b+c),1405605.0,0.0
201909,창원시 성산구,외지인방문자(b),1389040.0,0.0
201909,창원시 성산구,외국인방문자(c),23286.0,0.0
201909,창원시 성산구,외부방문자(b+c),1412326.0,0.0
201910,창원시 성산구,외지인방문자(b),1331968.0,0.0
201910,창원시 성산구,외국인방문자(c),23760.0,0.0
201910,창원시 성산구,외부방문자(b+c),1355728.0,0.0
201911,창원시 성산구,외지인방문자(b),1383660.0,0.0
201911,창원시 성산구,외국인방문자(c),20050.0,0.0
201911,창원시 성산구,외부방문자(b+c),1403710.0,0.0
201912,창원시 성산구,외지인방문자(b),1481899.0,0.0
201912,창원시 성산구,외국인방문자(c),19123.0,0.0
201912,창원시 성산구,외부방문자(b+c),1501022.0,0.0
