기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,통영시,외지인방문자(b),763167.0,0.0
201901,통영시,외국인방문자(c),48320.0,0.0
201901,통영시,외부방문자(b+c),811488.0,0.0
201902,통영시,외지인방문자(b),910209.0,0.0
201902,통영시,외국인방문자(c),35714.0,0.0
201902,통영시,외부방문자(b+c),945923.0,0.0
201903,통영시,외지인방문자(b),921664.0,0.0
201903,통영시,외국인방문자(c),35005.0,0.0
201903,통영시,외부방문자(b+c),956668.0,0.0
201904,통영시,외지인방문자(b),869685.0,0.0
201904,통영시,외국인방문자(c),32540.0,0.0
201904,통영시,외부방문자(b+c),902225.0,0.0
201905,통영시,외지인방문자(b),968068.0,0.0
201905,통영시,외국인방문자(c),36234.0,0.0
201905,통영시,외부방문자(b+c),1004302.0,0.0
201906,통영시,외지인방문자(b),887980.0,0.0
201906,통영시,외국인방문자(c),41866.0,0.0
201906,통영시,외부방문자(b+c),929846.0,0.0
201907,통영시,외지인방문자(b),851291.0,0.0
201907,통영시,외국인방문자(c),48602.0,0.0
201907,통영시,외부방문자(b+c),899893.0,0.0
201908,통영시,외지인방문자(b),1254397.0,0.0
201908,통영시,외국인방문자(c),55045.0,0.0
201908,통영시,외부방문자(b+c),1309442.0,0.0
201909,통영시,외지인방문자(b),855660.0,0.0
201909,통영시,외국인방문자(c),48367.0,0.0
201909,통영시,외부방문자(b+c),904028.0,0.0
201910,통영시,외지인방문자(b),925388.0,0.0
201910,통영시,외국인방문자(c),58166.0,0.0
201910,통영시,외부방문자(b+c),983554.0,0.0
201911,통영시,외지인방문자(b),862346.0,0.0
201911,통영시,외국인방문자(c),47878.0,0.0
201911,통영시,외부방문자(b+c),910224.0,0.0
201912,통영시,외지인방문자(b),830528.0,0.0
201912,통영시,외국인방문자(c),52985.0,0.0
201912,통영시,외부방문자(b+c),883513.0,0.0
