기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,함양군,외지인방문자(b),180658.0,0.0
201901,함양군,외국인방문자(c),1543.0,0.0
201901,함양군,외부방문자(b+c),182201.0,0.0
201902,함양군,외지인방문자(b),298989.0,0.0
201902,함양군,외국인방문자(c),1262.0,0.0
201902,함양군,외부방문자(b+c),300250.0,0.0
201903,함양군,외지인방문자(b),206807.0,0.0
201903,함양군,외국인방문자(c),1512.0,0.0
201903,함양군,외부방문자(b+c),208319.0,0.0
201904,함양군,외지인방문자(b),232977.0,0.0
201904,함양군,외국인방문자(c),1559.0,0.0
201904,함양군,외부방문자(b+c),234536.0,0.0
201905,함양군,외지인방문자(b),326329.0,0.0
201905,함양군,외국인방문자(c),1589.0,0.0
201905,함양군,외부방문자(b+c),327917.0,0.0
201906,함양군,외지인방문자(b),311618.0,0.0
201906,함양군,외국인방문자(c),2289.0,0.0
201906,함양군,외부방문자(b+c),313908.0,0.0
201907,함양군,외지인방문자(b),399644.0,0.0
201907,함양군,외국인방문자(c),2021.0,0.0
201907,함양군,외부방문자(b+c),401665.0,0.0
201908,함양군,외지인방문자(b),648380.0,0.0
201908,함양군,외국인방문자(c),1978.0,0.0
201908,함양군,외부방문자(b+c),650358.0,0.0
201909,함양군,외지인방문자(b),421753.0,0.0
201909,함양군,외국인방문자(c),2147.0,0.0
201909,함양군,외부방문자(b+c),423900.0,0.0
201910,함양군,외지인방문자(b),297292.0,0.0
201910,함양군,외국인방문자(c),2360.0,0.0
201910,함양군,외부방문자(b+c),299652.0,0.0
201911,함양군,외지인방문자(b),285200.0,0.0
201911,함양군,외국인방문자(c),2008.0,0.0
201911,함양군,외부방문자(b+c),287209.0,0.0
201912,함양군,외지인방문자(b),202195.0,0.0
201912,함양군,외국인방문자(c),1741.0,0.0
201912,함양군,외부방문자(b+c),203936.0,0.0
