기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,경산시,외지인방문자(b),1101156.0,0.0
201901,경산시,외국인방문자(c),15700.0,0.0
201901,경산시,외부방문자(b+c),1116856.0,0.0
201902,경산시,외지인방문자(b),1349799.0,0.0
201902,경산시,외국인방문자(c),14984.0,0.0
201902,경산시,외부방문자(b+c),1364783.0,0.0
201903,경산시,외지인방문자(b),1147883.0,0.0
201903,경산시,외국인방문자(c),18679.0,0.0
201903,경산시,외부방문자(b+c),1166563.0,0.0
201904,경산시,외지인방문자(b),1121949.0,0.0
201904,경산시,외국인방문자(c),17199.0,0.0
201904,경산시,외부방문자(b+c),1139149.0,0.0
201905,경산시,외지인방문자(b),1240290.0,0.0
201905,경산시,외국인방문자(c),18016.0,0.0
201905,경산시,외부방문자(b+c),1258306.0,0.0
201906,경산시,외지인방문자(b),1276315.0,0.0
201906,경산시,외국인방문자(c),16664.0,0.0
201906,경산시,외부방문자(b+c),1292978.0,0.0
201907,경산시,외지인방문자(b),1194849.0,0.0
201907,경산시,외국인방문자(c),17101.0,0.0
201907,경산시,외부방문자(b+c),1211950.0,0.0
201908,경산시,외지인방문자(b),1321582.0,0.0
201908,경산시,외국인방문자(c),18315.0,0.0
201908,경산시,외부방문자(b+c),1339898.0,0.0
201909,경산시,외지인방문자(b),1390715.0,0.0
201909,경산시,외국인방문자(c),22091.0,0.0
201909,경산시,외부방문자(b+c),1412806.0,0.0
201910,경산시,외지인방문자(b),1198491.0,0.0
201910,경산시,외국인방문자(c),22172.0,0.0
201910,경산시,외부방문자(b+c),1220663.0,0.0
201911,경산시,외지인방문자(b),1179919.0,0.0
201911,경산시,외국인방문자(c),19815.0,0.0
201911,경산시,외부방문자(b+c),1199734.0,0.0
201912,경산시,외지인방문자(b),1222208.0,0.0
201912,경산시,외국인방문자(c),19621.0,0.0
201912,경산시,외부방문자(b+c),1241829.0,0.0
