기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,구미시,외지인방문자(b),970132.0,0.0
201901,구미시,외국인방문자(c),20996.0,0.0
201901,구미시,외부방문자(b+c),991127.0,0.0
201902,구미시,외지인방문자(b),1119070.0,0.0
201902,구미시,외국인방문자(c),22558.0,0.0
201902,구미시,외부방문자(b+c),1141627.0,0.0
201903,구미시,외지인방문자(b),1015740.0,0.0
201903,구미시,외국인방문자(c),22456.0,0.0
201903,구미시,외부방문자(b+c),1038195.0,0.0
201904,구미시,외지인방문자(b),992760.0,0.0
201904,구미시,외국인방문자(c),27238.0,0.0
201904,구미시,외부방문자(b+c),1019998.0,0.0
201905,구미시,외지인방문자(b),1072696.0,0.0
201905,구미시,외국인방문자(c),25405.0,0.0
201905,구미시,외부방문자(b+c),1098101.0,0.0
201906,구미시,외지인방문자(b),1058145.0,0.0
201906,구미시,외국인방문자(c),26142.0,0.0
201906,구미시,외부방문자(b+c),1084287.0,0.0
201907,구미시,외지인방문자(b),1024221.0,0.0
201907,구미시,외국인방문자(c),24172.0,0.0
201907,구미시,외부방문자(b+c),1048393.0,0.0
201908,구미시,외지인방문자(b),1109787.0,0.0
201908,구미시,외국인방문자(c),22784.0,0.0
201908,구미시,외부방문자(b+c),1132571.0,0.0
201909,구미시,외지인방문자(b),1204810.0,0.0
201909,구미시,외국인방문자(c),26154.0,0.0
201909,구미시,외부방문자(b+c),1230964.0,0.0
201910,구미시,외지인방문자(b),1060324.0,0.0
201910,구미시,외국인방문자(c),29837.0,0.0
201910,구미시,외부방문자(b+c),1090162.0,0.0
201911,구미시,외지인방문자(b),1059079.0,0.0
201911,구미시,외국인방문자(c),27992.0,0.0
201911,구미시,외부방문자(b+c),1087072.0,0.0
201912,구미시,외지인방문자(b),1053082.0,0.0
201912,구미시,외국인방문자(c),27097.0,0.0
201912,구미시,외부방문자(b+c),1080179.0,0.0
