기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,문경시,외지인방문자(b),345977.0,0.0
201901,문경시,외국인방문자(c),3593.0,0.0
201901,문경시,외부방문자(b+c),349570.0,0.0
201902,문경시,외지인방문자(b),522225.0,0.0
201902,문경시,외국인방문자(c),5328.0,0.0
201902,문경시,외부방문자(b+c),527553.0,0.0
201903,문경시,외지인방문자(b),412542.0,0.0
201903,문경시,외국인방문자(c),6623.0,0.0
201903,문경시,외부방문자(b+c),419166.0,0.0
201904,문경시,외지인방문자(b),483403.0,0.0
201904,문경시,외국인방문자(c),5899.0,0.0
201904,문경시,외부방문자(b+c),489302.0,0.0
201905,문경시,외지인방문자(b),609100.0,0.0
201905,문경시,외국인방문자(c),6691.0,0.0
201905,문경시,외부방문자(b+c),615791.0,0.0
201906,문경시,외지인방문자(b),583097.0,0.0
201906,문경시,외국인방문자(c),7537.0,0.0
201906,문경시,외부방문자(b+c),590633.0,0.0
201907,문경시,외지인방문자(b),562504.0,0.0
201907,문경시,외국인방문자(c),5973.0,0.0
201907,문경시,외부방문자(b+c),568478.0,0.0
201908,문경시,외지인방문자(b),823205.0,0.0
201908,문경시,외국인방문자(c),6814.0,0.0
201908,문경시,외부방문자(b+c),830018.0,0.0
201909,문경시,외지인방문자(b),708268.0,0.0
201909,문경시,외국인방문자(c),7573.0,0.0
201909,문경시,외부방문자(b+c),715841.0,0.0
201910,문경시,외지인방문자(b),662101.0,0.0
201910,문경시,외국인방문자(c),9957.0,0.0
201910,문경시,외부방문자(b+c),672058.0,0.0
201911,문경시,외지인방문자(b),590675.0,0.0
201911,문경시,외국인방문자(c),9571.0,0.0
201911,문경시,외부방문자(b+c),600247.0,0.0
201912,문경시,외지인방문자(b),390165.0,0.0
201912,문경시,외국인방문자(c),5366.0,0.0
201912,문경시,외부방문자(b+c),395531.0,0.0
