기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,성주군,외지인방문자(b),276848.0,0.0
201901,성주군,외국인방문자(c),4841.0,0.0
201901,성주군,외부방문자(b+c),281689.0,0.0
201902,성주군,외지인방문자(b),386088.0,0.0
201902,성주군,외국인방문자(c),4409.0,0.0
201902,성주군,외부방문자(b+c),390497.0,0.0
201903,성주군,외지인방문자(b),332211.0,0.0
201903,성주군,외국인방문자(c),5630.0,0.0
201903,성주군,외부방문자(b+c),337841.0,0.0
201904,성주군,외지인방문자(b),345521.0,0.0
201904,성주군,외국인방문자(c),7530.0,0.0
201904,성주군,외부방문자(b+c),353051.0,0.0
201905,성주군,외지인방문자(b),433266.0,0.0
201905,성주군,외국인방문자(c),6793.0,0.0
201905,성주군,외부방문자(b+c),440059.0,0.0
201906,성주군,외지인방문자(b),414104.0,0.0
201906,성주군,외국인방문자(c),5637.0,0.0
201906,성주군,외부방문자(b+c),419741.0,0.0
201907,성주군,외지인방문자(b),448145.0,0.0
201907,성주군,외국인방문자(c),5286.0,0.0
201907,성주군,외부방문자(b+c),453431.0,0.0
201908,성주군,외지인방문자(b),608315.0,0.0
201908,성주군,외국인방문자(c),4584.0,0.0
201908,성주군,외부방문자(b+c),612900.0,0.0
201909,성주군,외지인방문자(b),483866.0,0.0
201909,성주군,외국인방문자(c),4489.0,0.0
201909,성주군,외부방문자(b+c),488354.0,0.0
201910,성주군,외지인방문자(b),360296.0,0.0
201910,성주군,외국인방문자(c),5638.0,0.0
201910,성주군,외부방문자(b+c),365935.0,0.0
201911,성주군,외지인방문자(b),358241.0,0.0
201911,성주군,외국인방문자(c),4515.0,0.0
201911,성주군,외부방문자(b+c),362756.0,0.0
201912,성주군,외지인방문자(b),317197.0,0.0
201912,성주군,외국인방문자(c),4201.0,0.0
201912,성주군,외부방문자(b+c),321398.0,0.0
