기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영양군,외지인방문자(b),61166.0,0.0
201901,영양군,외국인방문자(c),331.0,0.0
201901,영양군,외부방문자(b+c),61496.0,0.0
201902,영양군,외지인방문자(b),115002.0,0.0
201902,영양군,외국인방문자(c),678.0,0.0
201902,영양군,외부방문자(b+c),115680.0,0.0
201903,영양군,외지인방문자(b),69403.0,0.0
201903,영양군,외국인방문자(c),822.0,0.0
201903,영양군,외부방문자(b+c),70224.0,0.0
201904,영양군,외지인방문자(b),77129.0,0.0
201904,영양군,외국인방문자(c),1113.0,0.0
201904,영양군,외부방문자(b+c),78242.0,0.0
201905,영양군,외지인방문자(b),121861.0,0.0
201905,영양군,외국인방문자(c),1308.0,0.0
201905,영양군,외부방문자(b+c),123169.0,0.0
201906,영양군,외지인방문자(b),94117.0,0.0
201906,영양군,외국인방문자(c),1482.0,0.0
201906,영양군,외부방문자(b+c),95599.0,0.0
201907,영양군,외지인방문자(b),105958.0,0.0
201907,영양군,외국인방문자(c),1591.0,0.0
201907,영양군,외부방문자(b+c),107550.0,0.0
201908,영양군,외지인방문자(b),173025.0,0.0
201908,영양군,외국인방문자(c),2670.0,0.0
201908,영양군,외부방문자(b+c),175695.0,0.0
201909,영양군,외지인방문자(b),176848.0,0.0
201909,영양군,외국인방문자(c),3937.0,0.0
201909,영양군,외부방문자(b+c),180785.0,0.0
201910,영양군,외지인방문자(b),95116.0,0.0
201910,영양군,외국인방문자(c),3519.0,0.0
201910,영양군,외부방문자(b+c),98635.0,0.0
201911,영양군,외지인방문자(b),109071.0,0.0
201911,영양군,외국인방문자(c),1694.0,0.0
201911,영양군,외부방문자(b+c),110764.0,0.0
201912,영양군,외지인방문자(b),69327.0,0.0
201912,영양군,외국인방문자(c),617.0,0.0
201912,영양군,외부방문자(b+c),69945.0,0.0
