기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,예천군,외지인방문자(b),233375.0,0.0
201901,예천군,외국인방문자(c),1948.0,0.0
201901,예천군,외부방문자(b+c),235323.0,0.0
201902,예천군,외지인방문자(b),390989.0,0.0
201902,예천군,외국인방문자(c),2616.0,0.0
201902,예천군,외부방문자(b+c),393605.0,0.0
201903,예천군,외지인방문자(b),268487.0,0.0
201903,예천군,외국인방문자(c),3969.0,0.0
201903,예천군,외부방문자(b+c),272456.0,0.0
201904,예천군,외지인방문자(b),309164.0,0.0
201904,예천군,외국인방문자(c),4103.0,0.0
201904,예천군,외부방문자(b+c),313266.0,0.0
201905,예천군,외지인방문자(b),360865.0,0.0
201905,예천군,외국인방문자(c),4153.0,0.0
201905,예천군,외부방문자(b+c),365018.0,0.0
201906,예천군,외지인방문자(b),313086.0,0.0
201906,예천군,외국인방문자(c),4301.0,0.0
201906,예천군,외부방문자(b+c),317388.0,0.0
201907,예천군,외지인방문자(b),306951.0,0.0
201907,예천군,외국인방문자(c),4077.0,0.0
201907,예천군,외부방문자(b+c),311028.0,0.0
201908,예천군,외지인방문자(b),394944.0,0.0
201908,예천군,외국인방문자(c),3896.0,0.0
201908,예천군,외부방문자(b+c),398840.0,0.0
201909,예천군,외지인방문자(b),487826.0,0.0
201909,예천군,외국인방문자(c),4743.0,0.0
201909,예천군,외부방문자(b+c),492569.0,0.0
201910,예천군,외지인방문자(b),337472.0,0.0
201910,예천군,외국인방문자(c),7130.0,0.0
201910,예천군,외부방문자(b+c),344603.0,0.0
201911,예천군,외지인방문자(b),337487.0,0.0
201911,예천군,외국인방문자(c),5507.0,0.0
201911,예천군,외부방문자(b+c),342994.0,0.0
201912,예천군,외지인방문자(b),274055.0,0.0
201912,예천군,외국인방문자(c),2444.0,0.0
201912,예천군,외부방문자(b+c),276499.0,0.0
