기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,의성군,외지인방문자(b),251899.0,0.0
201901,의성군,외국인방문자(c),1992.0,0.0
201901,의성군,외부방문자(b+c),253890.0,0.0
201902,의성군,외지인방문자(b),436561.0,0.0
201902,의성군,외국인방문자(c),4389.0,0.0
201902,의성군,외부방문자(b+c),440950.0,0.0
201903,의성군,외지인방문자(b),323904.0,0.0
201903,의성군,외국인방문자(c),6776.0,0.0
201903,의성군,외부방문자(b+c),330681.0,0.0
201904,의성군,외지인방문자(b),315757.0,0.0
201904,의성군,외국인방문자(c),7217.0,0.0
201904,의성군,외부방문자(b+c),322974.0,0.0
201905,의성군,외지인방문자(b),411808.0,0.0
201905,의성군,외국인방문자(c),8303.0,0.0
201905,의성군,외부방문자(b+c),420111.0,0.0
201906,의성군,외지인방문자(b),383129.0,0.0
201906,의성군,외국인방문자(c),9147.0,0.0
201906,의성군,외부방문자(b+c),392276.0,0.0
201907,의성군,외지인방문자(b),355964.0,0.0
201907,의성군,외국인방문자(c),4722.0,0.0
201907,의성군,외부방문자(b+c),360686.0,0.0
201908,의성군,외지인방문자(b),430438.0,0.0
201908,의성군,외국인방문자(c),4283.0,0.0
201908,의성군,외부방문자(b+c),434721.0,0.0
201909,의성군,외지인방문자(b),569183.0,0.0
201909,의성군,외국인방문자(c),6598.0,0.0
201909,의성군,외부방문자(b+c),575781.0,0.0
201910,의성군,외지인방문자(b),365351.0,0.0
201910,의성군,외국인방문자(c),7660.0,0.0
201910,의성군,외부방문자(b+c),373011.0,0.0
201911,의성군,외지인방문자(b),365295.0,0.0
201911,의성군,외국인방문자(c),7392.0,0.0
201911,의성군,외부방문자(b+c),372687.0,0.0
201912,의성군,외지인방문자(b),266702.0,0.0
201912,의성군,외국인방문자(c),3188.0,0.0
201912,의성군,외부방문자(b+c),269890.0,0.0
