기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,칠곡군,외지인방문자(b),690244.0,0.0
201901,칠곡군,외국인방문자(c),9813.0,0.0
201901,칠곡군,외부방문자(b+c),700057.0,0.0
201902,칠곡군,외지인방문자(b),796847.0,0.0
201902,칠곡군,외국인방문자(c),10411.0,0.0
201902,칠곡군,외부방문자(b+c),807259.0,0.0
201903,칠곡군,외지인방문자(b),783969.0,0.0
201903,칠곡군,외국인방문자(c),12804.0,0.0
201903,칠곡군,외부방문자(b+c),796773.0,0.0
201904,칠곡군,외지인방문자(b),801025.0,0.0
201904,칠곡군,외국인방문자(c),13141.0,0.0
201904,칠곡군,외부방문자(b+c),814165.0,0.0
201905,칠곡군,외지인방문자(b),896820.0,0.0
201905,칠곡군,외국인방문자(c),13523.0,0.0
201905,칠곡군,외부방문자(b+c),910343.0,0.0
201906,칠곡군,외지인방문자(b),873222.0,0.0
201906,칠곡군,외국인방문자(c),13681.0,0.0
201906,칠곡군,외부방문자(b+c),886903.0,0.0
201907,칠곡군,외지인방문자(b),861499.0,0.0
201907,칠곡군,외국인방문자(c),14705.0,0.0
201907,칠곡군,외부방문자(b+c),876204.0,0.0
201908,칠곡군,외지인방문자(b),973307.0,0.0
201908,칠곡군,외국인방문자(c),11059.0,0.0
201908,칠곡군,외부방문자(b+c),984366.0,0.0
201909,칠곡군,외지인방문자(b),913390.0,0.0
201909,칠곡군,외국인방문자(c),12779.0,0.0
201909,칠곡군,외부방문자(b+c),926169.0,0.0
201910,칠곡군,외지인방문자(b),910121.0,0.0
201910,칠곡군,외국인방문자(c),12853.0,0.0
201910,칠곡군,외부방문자(b+c),922974.0,0.0
201911,칠곡군,외지인방문자(b),806616.0,0.0
201911,칠곡군,외국인방문자(c),11436.0,0.0
201911,칠곡군,외부방문자(b+c),818052.0,0.0
201912,칠곡군,외지인방문자(b),762522.0,0.0
201912,칠곡군,외국인방문자(c),10139.0,0.0
201912,칠곡군,외부방문자(b+c),772661.0,0.0
