기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,경주시,외지인방문자(b),2077048.0,0.0
201901,경주시,외국인방문자(c),26662.0,0.0
201901,경주시,외부방문자(b+c),2103710.0,0.0
201902,경주시,외지인방문자(b),2348516.0,0.0
201902,경주시,외국인방문자(c),30554.0,0.0
201902,경주시,외부방문자(b+c),2379070.0,0.0
201903,경주시,외지인방문자(b),2310946.0,0.0
201903,경주시,외국인방문자(c),37914.0,0.0
201903,경주시,외부방문자(b+c),2348860.0,0.0
201904,경주시,외지인방문자(b),2427541.0,0.0
201904,경주시,외국인방문자(c),39413.0,0.0
201904,경주시,외부방문자(b+c),2466954.0,0.0
201905,경주시,외지인방문자(b),2464522.0,0.0
201905,경주시,외국인방문자(c),40481.0,0.0
201905,경주시,외부방문자(b+c),2505003.0,0.0
201906,경주시,외지인방문자(b),2468491.0,0.0
201906,경주시,외국인방문자(c),41638.0,0.0
201906,경주시,외부방문자(b+c),2510129.0,0.0
201907,경주시,외지인방문자(b),2607343.0,0.0
201907,경주시,외국인방문자(c),41092.0,0.0
201907,경주시,외부방문자(b+c),2648435.0,0.0
201908,경주시,외지인방문자(b),3714101.0,0.0
201908,경주시,외국인방문자(c),40446.0,0.0
201908,경주시,외부방문자(b+c),3754547.0,0.0
201909,경주시,외지인방문자(b),2403150.0,0.0
201909,경주시,외국인방문자(c),38696.0,0.0
201909,경주시,외부방문자(b+c),2441846.0,0.0
201910,경주시,외지인방문자(b),2831868.0,0.0
201910,경주시,외국인방문자(c),51739.0,0.0
201910,경주시,외부방문자(b+c),2883607.0,0.0
201911,경주시,외지인방문자(b),2428860.0,0.0
201911,경주시,외국인방문자(c),39216.0,0.0
201911,경주시,외부방문자(b+c),2468075.0,0.0
201912,경주시,외지인방문자(b),2220511.0,0.0
201912,경주시,외국인방문자(c),31624.0,0.0
201912,경주시,외부방문자(b+c),2252134.0,0.0
