기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,군위군,외지인방문자(b),188574.0,0.0
201901,군위군,외국인방문자(c),1240.0,0.0
201901,군위군,외부방문자(b+c),189814.0,0.0
201902,군위군,외지인방문자(b),271934.0,0.0
201902,군위군,외국인방문자(c),1723.0,0.0
201902,군위군,외부방문자(b+c),273657.0,0.0
201903,군위군,외지인방문자(b),253914.0,0.0
201903,군위군,외국인방문자(c),2575.0,0.0
201903,군위군,외부방문자(b+c),256489.0,0.0
201904,군위군,외지인방문자(b),269427.0,0.0
201904,군위군,외국인방문자(c),2866.0,0.0
201904,군위군,외부방문자(b+c),272294.0,0.0
201905,군위군,외지인방문자(b),327169.0,0.0
201905,군위군,외국인방문자(c),2794.0,0.0
201905,군위군,외부방문자(b+c),329962.0,0.0
201906,군위군,외지인방문자(b),305901.0,0.0
201906,군위군,외국인방문자(c),2757.0,0.0
201906,군위군,외부방문자(b+c),308658.0,0.0
201907,군위군,외지인방문자(b),299662.0,0.0
201907,군위군,외국인방문자(c),2607.0,0.0
201907,군위군,외부방문자(b+c),302268.0,0.0
201908,군위군,외지인방문자(b),379670.0,0.0
201908,군위군,외국인방문자(c),2410.0,0.0
201908,군위군,외부방문자(b+c),382080.0,0.0
201909,군위군,외지인방문자(b),380161.0,0.0
201909,군위군,외국인방문자(c),2624.0,0.0
201909,군위군,외부방문자(b+c),382785.0,0.0
201910,군위군,외지인방문자(b),318483.0,0.0
201910,군위군,외국인방문자(c),3428.0,0.0
201910,군위군,외부방문자(b+c),321911.0,0.0
201911,군위군,외지인방문자(b),294789.0,0.0
201911,군위군,외국인방문자(c),2571.0,0.0
201911,군위군,외부방문자(b+c),297360.0,0.0
201912,군위군,외지인방문자(b),230055.0,0.0
201912,군위군,외국인방문자(c),1799.0,0.0
201912,군위군,외부방문자(b+c),231854.0,0.0
