기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,봉화군,외지인방문자(b),138613.0,0.0
201901,봉화군,외국인방문자(c),1139.0,0.0
201901,봉화군,외부방문자(b+c),139752.0,0.0
201902,봉화군,외지인방문자(b),246662.0,0.0
201902,봉화군,외국인방문자(c),1672.0,0.0
201902,봉화군,외부방문자(b+c),248335.0,0.0
201903,봉화군,외지인방문자(b),159341.0,0.0
201903,봉화군,외국인방문자(c),3073.0,0.0
201903,봉화군,외부방문자(b+c),162415.0,0.0
201904,봉화군,외지인방문자(b),189563.0,0.0
201904,봉화군,외국인방문자(c),4130.0,0.0
201904,봉화군,외부방문자(b+c),193693.0,0.0
201905,봉화군,외지인방문자(b),269389.0,0.0
201905,봉화군,외국인방문자(c),4167.0,0.0
201905,봉화군,외부방문자(b+c),273556.0,0.0
201906,봉화군,외지인방문자(b),230614.0,0.0
201906,봉화군,외국인방문자(c),3395.0,0.0
201906,봉화군,외부방문자(b+c),234009.0,0.0
201907,봉화군,외지인방문자(b),298793.0,0.0
201907,봉화군,외국인방문자(c),3292.0,0.0
201907,봉화군,외부방문자(b+c),302085.0,0.0
201908,봉화군,외지인방문자(b),455883.0,0.0
201908,봉화군,외국인방문자(c),4668.0,0.0
201908,봉화군,외부방문자(b+c),460550.0,0.0
201909,봉화군,외지인방문자(b),374262.0,0.0
201909,봉화군,외국인방문자(c),8244.0,0.0
201909,봉화군,외부방문자(b+c),382506.0,0.0
201910,봉화군,외지인방문자(b),296658.0,0.0
201910,봉화군,외국인방문자(c),9606.0,0.0
201910,봉화군,외부방문자(b+c),306264.0,0.0
201911,봉화군,외지인방문자(b),248961.0,0.0
201911,봉화군,외국인방문자(c),5491.0,0.0
201911,봉화군,외부방문자(b+c),254452.0,0.0
201912,봉화군,외지인방문자(b),161004.0,0.0
201912,봉화군,외국인방문자(c),1431.0,0.0
201912,봉화군,외부방문자(b+c),162435.0,0.0
