기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,안동시,외지인방문자(b),624556.0,0.0
201901,안동시,외국인방문자(c),5015.0,0.0
201901,안동시,외부방문자(b+c),629571.0,0.0
201902,안동시,외지인방문자(b),869534.0,0.0
201902,안동시,외국인방문자(c),7161.0,0.0
201902,안동시,외부방문자(b+c),876695.0,0.0
201903,안동시,외지인방문자(b),660799.0,0.0
201903,안동시,외국인방문자(c),9373.0,0.0
201903,안동시,외부방문자(b+c),670172.0,0.0
201904,안동시,외지인방문자(b),679892.0,0.0
201904,안동시,외국인방문자(c),11163.0,0.0
201904,안동시,외부방문자(b+c),691055.0,0.0
201905,안동시,외지인방문자(b),791248.0,0.0
201905,안동시,외국인방문자(c),11192.0,0.0
201905,안동시,외부방문자(b+c),802440.0,0.0
201906,안동시,외지인방문자(b),733483.0,0.0
201906,안동시,외국인방문자(c),9440.0,0.0
201906,안동시,외부방문자(b+c),742924.0,0.0
201907,안동시,외지인방문자(b),714328.0,0.0
201907,안동시,외국인방문자(c),9664.0,0.0
201907,안동시,외부방문자(b+c),723992.0,0.0
201908,안동시,외지인방문자(b),924388.0,0.0
201908,안동시,외국인방문자(c),10398.0,0.0
201908,안동시,외부방문자(b+c),934787.0,0.0
201909,안동시,외지인방문자(b),1061194.0,0.0
201909,안동시,외국인방문자(c),11808.0,0.0
201909,안동시,외부방문자(b+c),1073002.0,0.0
201910,안동시,외지인방문자(b),855070.0,0.0
201910,안동시,외국인방문자(c),15546.0,0.0
201910,안동시,외부방문자(b+c),870616.0,0.0
201911,안동시,외지인방문자(b),809988.0,0.0
201911,안동시,외국인방문자(c),11837.0,0.0
201911,안동시,외부방문자(b+c),821825.0,0.0
201912,안동시,외지인방문자(b),676771.0,0.0
201912,안동시,외국인방문자(c),6907.0,0.0
201912,안동시,외부방문자(b+c),683678.0,0.0
