기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영주시,외지인방문자(b),315816.0,0.0
201901,영주시,외국인방문자(c),3378.0,0.0
201901,영주시,외부방문자(b+c),319195.0,0.0
201902,영주시,외지인방문자(b),496724.0,0.0
201902,영주시,외국인방문자(c),3389.0,0.0
201902,영주시,외부방문자(b+c),500113.0,0.0
201903,영주시,외지인방문자(b),333673.0,0.0
201903,영주시,외국인방문자(c),6080.0,0.0
201903,영주시,외부방문자(b+c),339753.0,0.0
201904,영주시,외지인방문자(b),346856.0,0.0
201904,영주시,외국인방문자(c),6288.0,0.0
201904,영주시,외부방문자(b+c),353143.0,0.0
201905,영주시,외지인방문자(b),463561.0,0.0
201905,영주시,외국인방문자(c),5974.0,0.0
201905,영주시,외부방문자(b+c),469535.0,0.0
201906,영주시,외지인방문자(b),389660.0,0.0
201906,영주시,외국인방문자(c),5136.0,0.0
201906,영주시,외부방문자(b+c),394796.0,0.0
201907,영주시,외지인방문자(b),385663.0,0.0
201907,영주시,외국인방문자(c),5067.0,0.0
201907,영주시,외부방문자(b+c),390730.0,0.0
201908,영주시,외지인방문자(b),544591.0,0.0
201908,영주시,외국인방문자(c),6133.0,0.0
201908,영주시,외부방문자(b+c),550725.0,0.0
201909,영주시,외지인방문자(b),591629.0,0.0
201909,영주시,외국인방문자(c),7353.0,0.0
201909,영주시,외부방문자(b+c),598982.0,0.0
201910,영주시,외지인방문자(b),519297.0,0.0
201910,영주시,외국인방문자(c),11026.0,0.0
201910,영주시,외부방문자(b+c),530323.0,0.0
201911,영주시,외지인방문자(b),459830.0,0.0
201911,영주시,외국인방문자(c),8089.0,0.0
201911,영주시,외부방문자(b+c),467920.0,0.0
201912,영주시,외지인방문자(b),362818.0,0.0
201912,영주시,외국인방문자(c),5203.0,0.0
201912,영주시,외부방문자(b+c),368021.0,0.0
