기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,울릉군,외지인방문자(b),13460.0,0.0
201901,울릉군,외국인방문자(c),7981.0,0.0
201901,울릉군,외부방문자(b+c),21441.0,0.0
201902,울릉군,외지인방문자(b),16002.0,0.0
201902,울릉군,외국인방문자(c),10090.0,0.0
201902,울릉군,외부방문자(b+c),26091.0,0.0
201903,울릉군,외지인방문자(b),60921.0,0.0
201903,울릉군,외국인방문자(c),12284.0,0.0
201903,울릉군,외부방문자(b+c),73205.0,0.0
201904,울릉군,외지인방문자(b),153347.0,0.0
201904,울릉군,외국인방문자(c),13571.0,0.0
201904,울릉군,외부방문자(b+c),166918.0,0.0
201905,울릉군,외지인방문자(b),271548.0,0.0
201905,울릉군,외국인방문자(c),17295.0,0.0
201905,울릉군,외부방문자(b+c),288843.0,0.0
201906,울릉군,외지인방문자(b),200429.0,0.0
201906,울릉군,외국인방문자(c),16094.0,0.0
201906,울릉군,외부방문자(b+c),216523.0,0.0
201907,울릉군,외지인방문자(b),125696.0,0.0
201907,울릉군,외국인방문자(c),11589.0,0.0
201907,울릉군,외부방문자(b+c),137286.0,0.0
201908,울릉군,외지인방문자(b),184715.0,0.0
201908,울릉군,외국인방문자(c),14969.0,0.0
201908,울릉군,외부방문자(b+c),199685.0,0.0
201909,울릉군,외지인방문자(b),108586.0,0.0
201909,울릉군,외국인방문자(c),15418.0,0.0
201909,울릉군,외부방문자(b+c),124004.0,0.0
201910,울릉군,외지인방문자(b),112920.0,0.0
201910,울릉군,외국인방문자(c),19352.0,0.0
201910,울릉군,외부방문자(b+c),132272.0,0.0
201911,울릉군,외지인방문자(b),63146.0,0.0
201911,울릉군,외국인방문자(c),15048.0,0.0
201911,울릉군,외부방문자(b+c),78194.0,0.0
201912,울릉군,외지인방문자(b),20119.0,0.0
201912,울릉군,외국인방문자(c),12344.0,0.0
201912,울릉군,외부방문자(b+c),32464.0,0.0
