기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청도군,외지인방문자(b),387859.0,0.0
201901,청도군,외국인방문자(c),2521.0,0.0
201901,청도군,외부방문자(b+c),390379.0,0.0
201902,청도군,외지인방문자(b),629700.0,0.0
201902,청도군,외국인방문자(c),2715.0,0.0
201902,청도군,외부방문자(b+c),632415.0,0.0
201903,청도군,외지인방문자(b),585491.0,0.0
201903,청도군,외국인방문자(c),2988.0,0.0
201903,청도군,외부방문자(b+c),588479.0,0.0
201904,청도군,외지인방문자(b),504822.0,0.0
201904,청도군,외국인방문자(c),2743.0,0.0
201904,청도군,외부방문자(b+c),507565.0,0.0
201905,청도군,외지인방문자(b),605432.0,0.0
201905,청도군,외국인방문자(c),3139.0,0.0
201905,청도군,외부방문자(b+c),608571.0,0.0
201906,청도군,외지인방문자(b),594753.0,0.0
201906,청도군,외국인방문자(c),2680.0,0.0
201906,청도군,외부방문자(b+c),597433.0,0.0
201907,청도군,외지인방문자(b),621370.0,0.0
201907,청도군,외국인방문자(c),2788.0,0.0
201907,청도군,외부방문자(b+c),624158.0,0.0
201908,청도군,외지인방문자(b),908274.0,0.0
201908,청도군,외국인방문자(c),2749.0,0.0
201908,청도군,외부방문자(b+c),911023.0,0.0
201909,청도군,외지인방문자(b),651280.0,0.0
201909,청도군,외국인방문자(c),2490.0,0.0
201909,청도군,외부방문자(b+c),653770.0,0.0
201910,청도군,외지인방문자(b),639815.0,0.0
201910,청도군,외국인방문자(c),3264.0,0.0
201910,청도군,외부방문자(b+c),643079.0,0.0
201911,청도군,외지인방문자(b),566109.0,0.0
201911,청도군,외국인방문자(c),2694.0,0.0
201911,청도군,외부방문자(b+c),568803.0,0.0
201912,청도군,외지인방문자(b),459095.0,0.0
201912,청도군,외국인방문자(c),2401.0,0.0
201912,청도군,외부방문자(b+c),461496.0,0.0
