기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,포항시 남구,외지인방문자(b),1128846.0,0.0
201901,포항시 남구,외국인방문자(c),19312.0,0.0
201901,포항시 남구,외부방문자(b+c),1148158.0,0.0
201902,포항시 남구,외지인방문자(b),1249423.0,0.0
201902,포항시 남구,외국인방문자(c),18378.0,0.0
201902,포항시 남구,외부방문자(b+c),1267800.0,0.0
201903,포항시 남구,외지인방문자(b),1131885.0,0.0
201903,포항시 남구,외국인방문자(c),22857.0,0.0
201903,포항시 남구,외부방문자(b+c),1154742.0,0.0
201904,포항시 남구,외지인방문자(b),1042793.0,0.0
201904,포항시 남구,외국인방문자(c),18778.0,0.0
201904,포항시 남구,외부방문자(b+c),1061571.0,0.0
201905,포항시 남구,외지인방문자(b),1153279.0,0.0
201905,포항시 남구,외국인방문자(c),20889.0,0.0
201905,포항시 남구,외부방문자(b+c),1174168.0,0.0
201906,포항시 남구,외지인방문자(b),1201196.0,0.0
201906,포항시 남구,외국인방문자(c),20223.0,0.0
201906,포항시 남구,외부방문자(b+c),1221418.0,0.0
201907,포항시 남구,외지인방문자(b),1154602.0,0.0
201907,포항시 남구,외국인방문자(c),25302.0,0.0
201907,포항시 남구,외부방문자(b+c),1179903.0,0.0
201908,포항시 남구,외지인방문자(b),1395302.0,0.0
201908,포항시 남구,외국인방문자(c),20995.0,0.0
201908,포항시 남구,외부방문자(b+c),1416297.0,0.0
201909,포항시 남구,외지인방문자(b),1240799.0,0.0
201909,포항시 남구,외국인방문자(c),19882.0,0.0
201909,포항시 남구,외부방문자(b+c),1260681.0,0.0
201910,포항시 남구,외지인방문자(b),1095488.0,0.0
201910,포항시 남구,외국인방문자(c),29636.0,0.0
201910,포항시 남구,외부방문자(b+c),1125124.0,0.0
201911,포항시 남구,외지인방문자(b),1154966.0,0.0
201911,포항시 남구,외국인방문자(c),21003.0,0.0
201911,포항시 남구,외부방문자(b+c),1175969.0,0.0
201912,포항시 남구,외지인방문자(b),1280209.0,0.0
201912,포항시 남구,외국인방문자(c),20917.0,0.0
201912,포항시 남구,외부방문자(b+c),1301127.0,0.0
