기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,고령군,외지인방문자(b),198108.0,0.0
201901,고령군,외국인방문자(c),3040.0,0.0
201901,고령군,외부방문자(b+c),201148.0,0.0
201902,고령군,외지인방문자(b),279914.0,0.0
201902,고령군,외국인방문자(c),3630.0,0.0
201902,고령군,외부방문자(b+c),283543.0,0.0
201903,고령군,외지인방문자(b),256782.0,0.0
201903,고령군,외국인방문자(c),5196.0,0.0
201903,고령군,외부방문자(b+c),261978.0,0.0
201904,고령군,외지인방문자(b),296408.0,0.0
201904,고령군,외국인방문자(c),5278.0,0.0
201904,고령군,외부방문자(b+c),301687.0,0.0
201905,고령군,외지인방문자(b),306870.0,0.0
201905,고령군,외국인방문자(c),5113.0,0.0
201905,고령군,외부방문자(b+c),311982.0,0.0
201906,고령군,외지인방문자(b),288954.0,0.0
201906,고령군,외국인방문자(c),6463.0,0.0
201906,고령군,외부방문자(b+c),295417.0,0.0
201907,고령군,외지인방문자(b),256016.0,0.0
201907,고령군,외국인방문자(c),4048.0,0.0
201907,고령군,외부방문자(b+c),260064.0,0.0
201908,고령군,외지인방문자(b),290527.0,0.0
201908,고령군,외국인방문자(c),3625.0,0.0
201908,고령군,외부방문자(b+c),294152.0,0.0
201909,고령군,외지인방문자(b),344461.0,0.0
201909,고령군,외국인방문자(c),3343.0,0.0
201909,고령군,외부방문자(b+c),347804.0,0.0
201910,고령군,외지인방문자(b),275711.0,0.0
201910,고령군,외국인방문자(c),5018.0,0.0
201910,고령군,외부방문자(b+c),280728.0,0.0
201911,고령군,외지인방문자(b),272578.0,0.0
201911,고령군,외국인방문자(c),5202.0,0.0
201911,고령군,외부방문자(b+c),277780.0,0.0
201912,고령군,외지인방문자(b),228563.0,0.0
201912,고령군,외국인방문자(c),4071.0,0.0
201912,고령군,외부방문자(b+c),232634.0,0.0
