기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,김천시,외지인방문자(b),477658.0,0.0
201901,김천시,외국인방문자(c),5721.0,0.0
201901,김천시,외부방문자(b+c),483378.0,0.0
201902,김천시,외지인방문자(b),662028.0,0.0
201902,김천시,외국인방문자(c),6531.0,0.0
201902,김천시,외부방문자(b+c),668559.0,0.0
201903,김천시,외지인방문자(b),539118.0,0.0
201903,김천시,외국인방문자(c),7612.0,0.0
201903,김천시,외부방문자(b+c),546729.0,0.0
201904,김천시,외지인방문자(b),599111.0,0.0
201904,김천시,외국인방문자(c),8231.0,0.0
201904,김천시,외부방문자(b+c),607342.0,0.0
201905,김천시,외지인방문자(b),649027.0,0.0
201905,김천시,외국인방문자(c),8681.0,0.0
201905,김천시,외부방문자(b+c),657708.0,0.0
201906,김천시,외지인방문자(b),632232.0,0.0
201906,김천시,외국인방문자(c),8596.0,0.0
201906,김천시,외부방문자(b+c),640828.0,0.0
201907,김천시,외지인방문자(b),620224.0,0.0
201907,김천시,외국인방문자(c),8912.0,0.0
201907,김천시,외부방문자(b+c),629136.0,0.0
201908,김천시,외지인방문자(b),750545.0,0.0
201908,김천시,외국인방문자(c),8667.0,0.0
201908,김천시,외부방문자(b+c),759211.0,0.0
201909,김천시,외지인방문자(b),804468.0,0.0
201909,김천시,외국인방문자(c),11107.0,0.0
201909,김천시,외부방문자(b+c),815575.0,0.0
201910,김천시,외지인방문자(b),609986.0,0.0
201910,김천시,외국인방문자(c),10574.0,0.0
201910,김천시,외부방문자(b+c),620560.0,0.0
201911,김천시,외지인방문자(b),620012.0,0.0
201911,김천시,외국인방문자(c),9406.0,0.0
201911,김천시,외부방문자(b+c),629418.0,0.0
201912,김천시,외지인방문자(b),534271.0,0.0
201912,김천시,외국인방문자(c),7788.0,0.0
201912,김천시,외부방문자(b+c),542059.0,0.0
