기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,상주시,외지인방문자(b),390806.0,0.0
201901,상주시,외국인방문자(c),9523.0,0.0
201901,상주시,외부방문자(b+c),400328.0,0.0
201902,상주시,외지인방문자(b),617848.0,0.0
201902,상주시,외국인방문자(c),8807.0,0.0
201902,상주시,외부방문자(b+c),626655.0,0.0
201903,상주시,외지인방문자(b),438391.0,0.0
201903,상주시,외국인방문자(c),13975.0,0.0
201903,상주시,외부방문자(b+c),452366.0,0.0
201904,상주시,외지인방문자(b),486575.0,0.0
201904,상주시,외국인방문자(c),15452.0,0.0
201904,상주시,외부방문자(b+c),502027.0,0.0
201905,상주시,외지인방문자(b),595577.0,0.0
201905,상주시,외국인방문자(c),17326.0,0.0
201905,상주시,외부방문자(b+c),612903.0,0.0
201906,상주시,외지인방문자(b),541060.0,0.0
201906,상주시,외국인방문자(c),16249.0,0.0
201906,상주시,외부방문자(b+c),557309.0,0.0
201907,상주시,외지인방문자(b),516633.0,0.0
201907,상주시,외국인방문자(c),10663.0,0.0
201907,상주시,외부방문자(b+c),527296.0,0.0
201908,상주시,외지인방문자(b),713358.0,0.0
201908,상주시,외국인방문자(c),10795.0,0.0
201908,상주시,외부방문자(b+c),724154.0,0.0
201909,상주시,외지인방문자(b),770680.0,0.0
201909,상주시,외국인방문자(c),19793.0,0.0
201909,상주시,외부방문자(b+c),790473.0,0.0
201910,상주시,외지인방문자(b),556875.0,0.0
201910,상주시,외국인방문자(c),39755.0,0.0
201910,상주시,외부방문자(b+c),596630.0,0.0
201911,상주시,외지인방문자(b),572510.0,0.0
201911,상주시,외국인방문자(c),22991.0,0.0
201911,상주시,외부방문자(b+c),595501.0,0.0
201912,상주시,외지인방문자(b),436419.0,0.0
201912,상주시,외국인방문자(c),15609.0,0.0
201912,상주시,외부방문자(b+c),452029.0,0.0
