기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영덕군,외지인방문자(b),509647.0,0.0
201901,영덕군,외국인방문자(c),5688.0,0.0
201901,영덕군,외부방문자(b+c),515335.0,0.0
201902,영덕군,외지인방문자(b),582576.0,0.0
201902,영덕군,외국인방문자(c),4247.0,0.0
201902,영덕군,외부방문자(b+c),586823.0,0.0
201903,영덕군,외지인방문자(b),493555.0,0.0
201903,영덕군,외국인방문자(c),4734.0,0.0
201903,영덕군,외부방문자(b+c),498290.0,0.0
201904,영덕군,외지인방문자(b),389888.0,0.0
201904,영덕군,외국인방문자(c),6021.0,0.0
201904,영덕군,외부방문자(b+c),395909.0,0.0
201905,영덕군,외지인방문자(b),445990.0,0.0
201905,영덕군,외국인방문자(c),6621.0,0.0
201905,영덕군,외부방문자(b+c),452611.0,0.0
201906,영덕군,외지인방문자(b),443757.0,0.0
201906,영덕군,외국인방문자(c),6018.0,0.0
201906,영덕군,외부방문자(b+c),449775.0,0.0
201907,영덕군,외지인방문자(b),539948.0,0.0
201907,영덕군,외국인방문자(c),5936.0,0.0
201907,영덕군,외부방문자(b+c),545884.0,0.0
201908,영덕군,외지인방문자(b),896316.0,0.0
201908,영덕군,외국인방문자(c),8341.0,0.0
201908,영덕군,외부방문자(b+c),904657.0,0.0
201909,영덕군,외지인방문자(b),492032.0,0.0
201909,영덕군,외국인방문자(c),6254.0,0.0
201909,영덕군,외부방문자(b+c),498286.0,0.0
201910,영덕군,외지인방문자(b),399359.0,0.0
201910,영덕군,외국인방문자(c),10750.0,0.0
201910,영덕군,외부방문자(b+c),410109.0,0.0
201911,영덕군,외지인방문자(b),429125.0,0.0
201911,영덕군,외국인방문자(c),7779.0,0.0
201911,영덕군,외부방문자(b+c),436905.0,0.0
201912,영덕군,외지인방문자(b),482863.0,0.0
201912,영덕군,외국인방문자(c),7533.0,0.0
201912,영덕군,외부방문자(b+c),490396.0,0.0
