기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영천시,외지인방문자(b),456808.0,0.0
201901,영천시,외국인방문자(c),4881.0,0.0
201901,영천시,외부방문자(b+c),461689.0,0.0
201902,영천시,외지인방문자(b),666823.0,0.0
201902,영천시,외국인방문자(c),5602.0,0.0
201902,영천시,외부방문자(b+c),672425.0,0.0
201903,영천시,외지인방문자(b),576112.0,0.0
201903,영천시,외국인방문자(c),6699.0,0.0
201903,영천시,외부방문자(b+c),582812.0,0.0
201904,영천시,외지인방문자(b),565703.0,0.0
201904,영천시,외국인방문자(c),6696.0,0.0
201904,영천시,외부방문자(b+c),572399.0,0.0
201905,영천시,외지인방문자(b),672578.0,0.0
201905,영천시,외국인방문자(c),7340.0,0.0
201905,영천시,외부방문자(b+c),679918.0,0.0
201906,영천시,외지인방문자(b),647669.0,0.0
201906,영천시,외국인방문자(c),7588.0,0.0
201906,영천시,외부방문자(b+c),655257.0,0.0
201907,영천시,외지인방문자(b),625056.0,0.0
201907,영천시,외국인방문자(c),6540.0,0.0
201907,영천시,외부방문자(b+c),631596.0,0.0
201908,영천시,외지인방문자(b),734732.0,0.0
201908,영천시,외국인방문자(c),6348.0,0.0
201908,영천시,외부방문자(b+c),741080.0,0.0
201909,영천시,외지인방문자(b),869330.0,0.0
201909,영천시,외국인방문자(c),7129.0,0.0
201909,영천시,외부방문자(b+c),876459.0,0.0
201910,영천시,외지인방문자(b),624314.0,0.0
201910,영천시,외국인방문자(c),8491.0,0.0
201910,영천시,외부방문자(b+c),632805.0,0.0
201911,영천시,외지인방문자(b),602049.0,0.0
201911,영천시,외국인방문자(c),6670.0,0.0
201911,영천시,외부방문자(b+c),608719.0,0.0
201912,영천시,외지인방문자(b),521937.0,0.0
201912,영천시,외국인방문자(c),6267.0,0.0
201912,영천시,외부방문자(b+c),528204.0,0.0
