기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,울진군,외지인방문자(b),442846.0,0.0
201901,울진군,외국인방문자(c),3264.0,0.0
201901,울진군,외부방문자(b+c),446110.0,0.0
201902,울진군,외지인방문자(b),495398.0,0.0
201902,울진군,외국인방문자(c),5235.0,0.0
201902,울진군,외부방문자(b+c),500633.0,0.0
201903,울진군,외지인방문자(b),429296.0,0.0
201903,울진군,외국인방문자(c),6694.0,0.0
201903,울진군,외부방문자(b+c),435990.0,0.0
201904,울진군,외지인방문자(b),360811.0,0.0
201904,울진군,외국인방문자(c),7340.0,0.0
201904,울진군,외부방문자(b+c),368151.0,0.0
201905,울진군,외지인방문자(b),426595.0,0.0
201905,울진군,외국인방문자(c),8708.0,0.0
201905,울진군,외부방문자(b+c),435303.0,0.0
201906,울진군,외지인방문자(b),399305.0,0.0
201906,울진군,외국인방문자(c),6416.0,0.0
201906,울진군,외부방문자(b+c),405721.0,0.0
201907,울진군,외지인방문자(b),478193.0,0.0
201907,울진군,외국인방문자(c),6467.0,0.0
201907,울진군,외부방문자(b+c),484661.0,0.0
201908,울진군,외지인방문자(b),854954.0,0.0
201908,울진군,외국인방문자(c),7426.0,0.0
201908,울진군,외부방문자(b+c),862380.0,0.0
201909,울진군,외지인방문자(b),478892.0,0.0
201909,울진군,외국인방문자(c),7088.0,0.0
201909,울진군,외부방문자(b+c),485980.0,0.0
201910,울진군,외지인방문자(b),416599.0,0.0
201910,울진군,외국인방문자(c),5294.0,0.0
201910,울진군,외부방문자(b+c),421892.0,0.0
201911,울진군,외지인방문자(b),399629.0,0.0
201911,울진군,외국인방문자(c),3734.0,0.0
201911,울진군,외부방문자(b+c),403364.0,0.0
201912,울진군,외지인방문자(b),445408.0,0.0
201912,울진군,외국인방문자(c),3754.0,0.0
201912,울진군,외부방문자(b+c),449163.0,0.0
