기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청송군,외지인방문자(b),176862.0,0.0
201901,청송군,외국인방문자(c),1144.0,0.0
201901,청송군,외부방문자(b+c),178006.0,0.0
201902,청송군,외지인방문자(b),231799.0,0.0
201902,청송군,외국인방문자(c),1778.0,0.0
201902,청송군,외부방문자(b+c),233577.0,0.0
201903,청송군,외지인방문자(b),186515.0,0.0
201903,청송군,외국인방문자(c),2656.0,0.0
201903,청송군,외부방문자(b+c),189171.0,0.0
201904,청송군,외지인방문자(b),201347.0,0.0
201904,청송군,외국인방문자(c),3224.0,0.0
201904,청송군,외부방문자(b+c),204572.0,0.0
201905,청송군,외지인방문자(b),263100.0,0.0
201905,청송군,외국인방문자(c),3156.0,0.0
201905,청송군,외부방문자(b+c),266256.0,0.0
201906,청송군,외지인방문자(b),237937.0,0.0
201906,청송군,외국인방문자(c),2734.0,0.0
201906,청송군,외부방문자(b+c),240671.0,0.0
201907,청송군,외지인방문자(b),262091.0,0.0
201907,청송군,외국인방문자(c),2618.0,0.0
201907,청송군,외부방문자(b+c),264709.0,0.0
201908,청송군,외지인방문자(b),378364.0,0.0
201908,청송군,외국인방문자(c),2794.0,0.0
201908,청송군,외부방문자(b+c),381158.0,0.0
201909,청송군,외지인방문자(b),348390.0,0.0
201909,청송군,외국인방문자(c),4952.0,0.0
201909,청송군,외부방문자(b+c),353342.0,0.0
201910,청송군,외지인방문자(b),399077.0,0.0
201910,청송군,외국인방문자(c),5725.0,0.0
201910,청송군,외부방문자(b+c),404801.0,0.0
201911,청송군,외지인방문자(b),446002.0,0.0
201911,청송군,외국인방문자(c),4759.0,0.0
201911,청송군,외부방문자(b+c),450761.0,0.0
201912,청송군,외지인방문자(b),196028.0,0.0
201912,청송군,외국인방문자(c),1529.0,0.0
201912,청송군,외부방문자(b+c),197558.0,0.0
