기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,포항시 북구,외지인방문자(b),1156163.0,0.0
201901,포항시 북구,외국인방문자(c),8550.0,0.0
201901,포항시 북구,외부방문자(b+c),1164713.0,0.0
201902,포항시 북구,외지인방문자(b),1319455.0,0.0
201902,포항시 북구,외국인방문자(c),9950.0,0.0
201902,포항시 북구,외부방문자(b+c),1329405.0,0.0
201903,포항시 북구,외지인방문자(b),1145767.0,0.0
201903,포항시 북구,외국인방문자(c),10199.0,0.0
201903,포항시 북구,외부방문자(b+c),1155966.0,0.0
201904,포항시 북구,외지인방문자(b),1088154.0,0.0
201904,포항시 북구,외국인방문자(c),9541.0,0.0
201904,포항시 북구,외부방문자(b+c),1097694.0,0.0
201905,포항시 북구,외지인방문자(b),1271474.0,0.0
201905,포항시 북구,외국인방문자(c),10133.0,0.0
201905,포항시 북구,외부방문자(b+c),1281606.0,0.0
201906,포항시 북구,외지인방문자(b),1278661.0,0.0
201906,포항시 북구,외국인방문자(c),10337.0,0.0
201906,포항시 북구,외부방문자(b+c),1288999.0,0.0
201907,포항시 북구,외지인방문자(b),1374467.0,0.0
201907,포항시 북구,외국인방문자(c),10797.0,0.0
201907,포항시 북구,외부방문자(b+c),1385264.0,0.0
201908,포항시 북구,외지인방문자(b),1798444.0,0.0
201908,포항시 북구,외국인방문자(c),11097.0,0.0
201908,포항시 북구,외부방문자(b+c),1809541.0,0.0
201909,포항시 북구,외지인방문자(b),1399605.0,0.0
201909,포항시 북구,외국인방문자(c),9875.0,0.0
201909,포항시 북구,외부방문자(b+c),1409480.0,0.0
201910,포항시 북구,외지인방문자(b),1196005.0,0.0
201910,포항시 북구,외국인방문자(c),10950.0,0.0
201910,포항시 북구,외부방문자(b+c),1206955.0,0.0
201911,포항시 북구,외지인방문자(b),1198571.0,0.0
201911,포항시 북구,외국인방문자(c),9310.0,0.0
201911,포항시 북구,외부방문자(b+c),1207881.0,0.0
201912,포항시 북구,외지인방문자(b),1236780.0,0.0
201912,포항시 북구,외국인방문자(c),9598.0,0.0
201912,포항시 북구,외부방문자(b+c),1246378.0,0.0
