기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,광산구,외지인방문자(b),1594324.0,0.0
201901,광산구,외국인방문자(c),20040.0,0.0
201901,광산구,외부방문자(b+c),1614364.0,0.0
201902,광산구,외지인방문자(b),1717888.0,0.0
201902,광산구,외국인방문자(c),23145.0,0.0
201902,광산구,외부방문자(b+c),1741032.0,0.0
201903,광산구,외지인방문자(b),1593779.0,0.0
201903,광산구,외국인방문자(c),29215.0,0.0
201903,광산구,외부방문자(b+c),1622994.0,0.0
201904,광산구,외지인방문자(b),1564464.0,0.0
201904,광산구,외국인방문자(c),23861.0,0.0
201904,광산구,외부방문자(b+c),1588325.0,0.0
201905,광산구,외지인방문자(b),1646522.0,0.0
201905,광산구,외국인방문자(c),26361.0,0.0
201905,광산구,외부방문자(b+c),1672883.0,0.0
201906,광산구,외지인방문자(b),1678713.0,0.0
201906,광산구,외국인방문자(c),24044.0,0.0
201906,광산구,외부방문자(b+c),1702756.0,0.0
201907,광산구,외지인방문자(b),1725759.0,0.0
201907,광산구,외국인방문자(c),53138.0,0.0
201907,광산구,외부방문자(b+c),1778897.0,0.0
201908,광산구,외지인방문자(b),1775081.0,0.0
201908,광산구,외국인방문자(c),32104.0,0.0
201908,광산구,외부방문자(b+c),1807186.0,0.0
201909,광산구,외지인방문자(b),1789255.0,0.0
201909,광산구,외국인방문자(c),28127.0,0.0
201909,광산구,외부방문자(b+c),1817382.0,0.0
201910,광산구,외지인방문자(b),1686031.0,0.0
201910,광산구,외국인방문자(c),31900.0,0.0
201910,광산구,외부방문자(b+c),1717931.0,0.0
201911,광산구,외지인방문자(b),1675494.0,0.0
201911,광산구,외국인방문자(c),28655.0,0.0
201911,광산구,외부방문자(b+c),1704149.0,0.0
201912,광산구,외지인방문자(b),1787996.0,0.0
201912,광산구,외국인방문자(c),26162.0,0.0
201912,광산구,외부방문자(b+c),1814159.0,0.0
