기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,북구,외지인방문자(b),1667804.0,0.0
201901,북구,외국인방문자(c),11513.0,0.0
201901,북구,외부방문자(b+c),1679318.0,0.0
201902,북구,외지인방문자(b),1877514.0,0.0
201902,북구,외국인방문자(c),11075.0,0.0
201902,북구,외부방문자(b+c),1888589.0,0.0
201903,북구,외지인방문자(b),1676381.0,0.0
201903,북구,외국인방문자(c),12880.0,0.0
201903,북구,외부방문자(b+c),1689261.0,0.0
201904,북구,외지인방문자(b),1631011.0,0.0
201904,북구,외국인방문자(c),11766.0,0.0
201904,북구,외부방문자(b+c),1642777.0,0.0
201905,북구,외지인방문자(b),1793583.0,0.0
201905,북구,외국인방문자(c),12929.0,0.0
201905,북구,외부방문자(b+c),1806512.0,0.0
201906,북구,외지인방문자(b),1708690.0,0.0
201906,북구,외국인방문자(c),11452.0,0.0
201906,북구,외부방문자(b+c),1720143.0,0.0
201907,북구,외지인방문자(b),1632286.0,0.0
201907,북구,외국인방문자(c),15674.0,0.0
201907,북구,외부방문자(b+c),1647960.0,0.0
201908,북구,외지인방문자(b),1768789.0,0.0
201908,북구,외국인방문자(c),15333.0,0.0
201908,북구,외부방문자(b+c),1784122.0,0.0
201909,북구,외지인방문자(b),1949844.0,0.0
201909,북구,외국인방문자(c),16083.0,0.0
201909,북구,외부방문자(b+c),1965927.0,0.0
201910,북구,외지인방문자(b),1680285.0,0.0
201910,북구,외국인방문자(c),16286.0,0.0
201910,북구,외부방문자(b+c),1696571.0,0.0
201911,북구,외지인방문자(b),1662115.0,0.0
201911,북구,외국인방문자(c),14077.0,0.0
201911,북구,외부방문자(b+c),1676192.0,0.0
201912,북구,외지인방문자(b),1787873.0,0.0
201912,북구,외국인방문자(c),13722.0,0.0
201912,북구,외부방문자(b+c),1801595.0,0.0
